round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Patrick Ewing^,C,United States,New York Knicks,Georgetown,No,College Senior
1,2,Wayman Tisdale,PF,United States,Indiana Pacers,Oklahoma,No,College Junior
1,3,Benoit Benjamin,C,United States,Los Angeles Clippers,Creighton,No,College Junior
1,4,Xavier McDaniel,PF,United States,Seattle SuperSonics,Wichita State,No,College Senior
1,5,Jon Koncak,C,United States,Atlanta Hawks,SMU,No,College Senior
1,6,Joe Kleine,C,United States,Sacramento Kings,Arkansas,No,College Senior
1,7,Chris Mullin^,SF,United States,Golden State Warriors,St. John's,No,College Senior
1,8,Detlef Schrempf,SF/PF,West Germany,Dallas Mavericks,Washington,Yes,College Senior
1,9,Charles Oakley,PF,United States,Cleveland Cavaliers *,Virginia Union,No,College Senior
1,10,Ed Pinckney,PF,United States,Phoenix Suns,Villanova,No,College Senior
1,11,Keith Lee,C,United States,Chicago Bulls,Memphis State,No,College Senior
1,12,Kenny Green,F,United States,Washington Bullets,Wake Forest,No,College Junior
1,13,Karl Malone^,PF,United States,Utah Jazz,Louisiana Tech,No,College Junior
1,14,Alfredrick Hughes,SG,United States,San Antonio Spurs,Loyola,No,College Senior
1,15,Blair Rasmussen,C,United States,Denver Nuggets,Oregon,Yes,College Senior
1,16,Bill Wennington,C,Canada,Dallas Mavericks,St. John's,Yes,College Senior
1,17,Uwe Blab,C,West Germany,Dallas Mavericks,Indiana,No,College Senior
1,18,Joe Dumars^,SG,United States,Detroit Pistons,McNeese State,No,College Senior
1,19,Steve Harris,SG,United States,Houston Rockets,Tulsa,No,College Senior
1,20,Sam Vincent,SG,United States,Boston Celtics,Michigan State,Yes,College Senior
1,21,Terry Catledge,PF,United States,Philadelphia 76ers,South Alabama,No,College Sophmore
1,22,Jerry Reynolds,G/F,United States,Milwaukee Bucks,LSU,No,College Junior
1,23,A. C. Green,SF/PF,United States,Los Angeles Lakers,Oregon State,No,College Senior
1,24,Terry Porter,PG,United States,Portland Trail Blazers,Wisconsin–Stevens Point,Yes,College Senior
2,25,Mike Smrek,C,Canada,Portland Trail Blazers,Canisius,No,College Senior
2,26,Bill Martin,F,United States,Indiana Pacers,Georgetown,No,College Senior
2,27,Dwayne McClain,SG,United States,Indiana Pacers,Villanova,No,College Senior
2,28,Ken Johnson,F,United States,Chicago Bulls,Michigan State,No,College Senior
2,29,Mike Brittain,C,United States,San Antonio Spurs,South Carolina,No,College Sophmore
2,30,Calvin Duncan,G,United States,Cleveland Cavaliers,VCU,No,College Senior
2,31,Manute Bol,C,Sudan,Washington Bullets,Bridgeport,No,College Freshman
