Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,John Wall,PG,United States,Washington Wizards,Kentucky,No,College Freshman
1,2,Evan Turner,SF/SG,United States,Philadelphia 76ers,Ohio State,No,College Junior
1,3,Derrick Favors,PF,United States,New Jersey Nets,Georgia Tech,No,College Freshman
1,4,Wesley Johnson,SF,United States,Minnesota Timberwolves,Syracuse,No,College Junior
1,5,DeMarcus Cousins,C,United States,Sacramento Kings,Kentucky,No,College Freshman
1,6,Ekpe Udoh,C,United States,Golden State Warriors,Baylor,No,College Junior
1,7,Greg Monroe,PF,United States,Detroit Pistons,Georgetown,No,College Sophmore
1,8,Al-Farouq Aminu,SF,United States,Los Angeles Clippers,Wake Forest,No,College Sophmore
1,9,Gordon Hayward,SF,United States,Utah Jazz,Butler,Yes,College Sophmore
1,10,Paul George,SF,United States,Indiana Pacers,Fresno State,No,College Freshman
1,11,Cole Aldrich,C,United States,New Orleans Hornets,Kansas,Yes,College Junior
1,12,Xavier Henry,SG,United States,Memphis Grizzlies,Kansas,No,College Freshman
1,13,Ed Davis,PF,United States,Toronto Raptors,North Carolina,No,College Sophmore
1,14,Patrick Patterson,PF,United States,Houston Rockets,Kentucky,No,College Junior
1,15,Larry Sanders,C,United States,Milwaukee Bucks,VCU,Yes,College Junior
1,16,Luke Babbitt,SF,United States,Minnesota Timberwolves,Nevada,Yes,College Sophmore
1,17,Kévin Séraphin,PF,France,Chicago Bulls,Cholet Basket,Yes,College Freshman
1,18,Eric Bledsoe,PG,United States,Oklahoma City Thunder,Kentucky,Yes,College Freshman
1,19,Avery Bradley,SG,United States,Boston Celtics,Texas,No,College Freshman
1,20,James Anderson,SG,United States,San Antonio Spurs,Oklahoma State,No,College Junior
1,21,Craig Brackins,PF,United States,Oklahoma City Thunder,Iowa State,Yes,College Junior
1,22,Elliot Williams,SG,United States,Portland Trail Blazers,Memphis,No,College Sophmore
1,23,Trevor Booker,PF,United States,Minnesota Timberwolves,Clemson,Yes,College Senior
1,24,Damion James,SF,United States,Atlanta Hawks,Texas,Yes,College Senior
1,25,Dominique Jones,SG,United States,Memphis Grizzlies,USF,Yes,College Junior
1,26,Quincy Pondexter,SF,United States,Oklahoma City Thunder,Washington,Yes,College Senior
1,27,Jordan Crawford,SG,United States,New Jersey Nets,Xavier,Yes,College Sophmore
1,28,Greivis Vásquez,PG,Venezuela,Memphis Grizzlies,Maryland,Yes,College Senior
1,29,Daniel Orton,C,United States,Orlando Magic,Kentucky,No,College Freshman
1,30,Lazar Hayward,SF,United States,Washington Wizards,Marquette,Yes,College Senior
2,31,Tibor Pleiß,C,Germany,New Jersey Nets,Brose Baskets (Germany),Yes,Playing Internationally
2,32,Dexter Pittman,C,United States,Miami Heat,Texas,Yes,College Senior
2,33,Hassan Whiteside,C,United States,Sacramento Kings,Marshall,No,College Freshman
2,34,Armon Johnson,PG,United States,Portland Trail Blazers,Nevada,Yes,College Junior
2,35,Nemanja Bjelica,PF,Serbia,Washington Wizards,Red Star Belgrade (Serbia),Yes,Playing Internationally
2,36,Terrico White,SG,United States,Detroit Pistons,Ole Miss,No,College Sophmore
2,37,Darington Hobson,SF,United States,Milwaukee Bucks,New Mexico,Yes,College Junior
2,38,Andy Rautins,SG,Canada,New York Knicks,Syracuse,No,College Senior
2,39,Landry Fields,SG,United States,New York Knicks,Stanford,Yes,College Senior
2,40,Lance Stephenson,SG,United States,Indiana Pacers,Cincinnati,No,College Freshman
2,41,Jarvis Varnado,PF,United States,Miami Heat,Mississippi State,Yes,College Senior
2,42,Da'Sean Butler,SF,United States,Miami Heat,West Virginia,Yes,College Senior
2,43,Devin Ebanks,SF,United States,Los Angeles Lakers,West Virginia,Yes,College Sophmore
2,44,Jerome Jordan,C,Jamaica,Milwaukee Bucks,Tulsa,Yes,College Senior
2,45,Paulão Prestes,C,Brazil,Minnesota Timberwolves,CB Murcia (Spain),Yes,Playing Internationally
2,46,Gani Lawal,PF,Nigeria,Phoenix Suns,Georgia Tech,Yes,College Junior
2,47,Tiny Gallon,PF,United States,Milwaukee Bucks,Oklahoma,No,College Freshman
2,48,Latavious Williams,SF,United States,Miami Heat,Tulsa 66ers (D-League),Yes,Playing Internationally
2,49,Ryan Richards,PF,United Kingdom,San Antonio Spurs,CB Gran Canaria (Spain),No,Playing Internationally
2,50,Solomon Alabi,C,Nigeria,Dallas Mavericks,Florida State,Yes,College Sophmore
2,51,Magnum Rolle,PF,Bahamas,Oklahoma City Thunder,Louisiana Tech,Yes,College Senior
2,52,Luke Harangody,PF,United States,Boston Celtics,Notre Dame,No,College Senior
2,53,Pape Sy,SF,France,Atlanta Hawks,STB Le Havre,No,College Freshman
2,54,Willie Warren,PG,United States,Los Angeles Clippers,Oklahoma,Yes,College Sophmore
2,55,Jeremy Evans,PF,United States,Utah Jazz,WKU,No,College Senior
2,56,Hamady N'Diaye,C,Senegal,Minnesota Timberwolves,Rutgers,Yes,College Senior
2,57,Ryan Reid,PF,United States,Indiana Pacers,Florida State,Yes,College Junior
2,58,Derrick Caracter,PF,United States,Los Angeles Lakers,UTEP,No,College Junior
2,59,Stanley Robinson,SF,United States,Orlando Magic,Connecticut,No,College Senior
2,60,Dwayne Collins,PF,United States,Phoenix Suns,Miami,Yes,College Senior
