Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Karl-Anthony Towns,C,Dominican Republic,Minnesota Timberwolves,Kentucky,No,College Freshman
1,2,D'Angelo Russell,PG,United States,Los Angeles Lakers,Ohio State,No,College Freshman
1,3,Jahlil Okafor,C,United States,Philadelphia 76ers,Duke,No,College Freshman
1,4,Kristaps Porziņģis,PF/C,Latvia,New York Knicks,Baloncesto Sevilla (Spain),No,Playing Internationally
1,5,Mario Hezonja,SG/SF,Croatia,Orlando Magic,FC Barcelona (Spain),No,Playing Internationally
1,6,Willie Cauley-Stein,PF,United States,Sacramento Kings,Kentucky,No,College Junior
1,7,Emmanuel Mudiay,PG,DR Congo,Denver Nuggets,Guangdong Southern Tigers,No,College Sophmore
1,8,Stanley Johnson,SF,United States,Detroit Pistons,Arizona,No,College Freshman
1,9,Frank Kaminsky,PF,United States,Charlotte Hornets,Wisconsin,No,College Senior
1,10,Justise Winslow,SF,United States,Miami Heat,Duke,No,College Freshman
1,11,Myles Turner,C,United States,Indiana Pacers,Texas,No,College Freshman
1,12,Trey Lyles,PF,Canada,Utah Jazz,Kentucky,No,College Freshman
1,13,Devin Booker,SG,United States,Phoenix Suns,Kentucky,No,College Freshman
1,14,Cameron Payne,PG,United States,Oklahoma City Thunder,Murray State,No,College Sophmore
1,15,Kelly Oubre Jr.,SF,United States,Atlanta Hawks,Kansas,Yes,College Freshman
1,16,Terry Rozier,PG,United States,Boston Celtics,Louisville,No,College Sophmore
1,17,Rashad Vaughn,SG,United States,Milwaukee Bucks,UNLV,No,College Freshman
1,18,Sam Dekker,SF,United States,Houston Rockets,Wisconsin,Yes,College Junior
1,19,Jerian Grant,PG,United States,Washington Wizards,Notre Dame,Yes,College Senior
1,20,Delon Wright,PG,United States,Toronto Raptors,Utah,No,College Senior
1,21,Justin Anderson,SF,United States,Dallas Mavericks,Virginia,No,College Junior
1,22,Bobby Portis,PF,United States,Chicago Bulls,Arkansas,No,College Sophmore
1,23,Rondae Hollis-Jefferson,SF,United States,Portland Trail Blazers,Arizona,Yes,College Sophmore
1,24,Tyus Jones,PG,United States,Cleveland Cavaliers,Duke,Yes,College Freshman
1,25,Jarell Martin,PF,United States,Memphis Grizzlies,LSU,No,College Sophmore
1,26,Nikola Milutinov,C,Serbia,San Antonio Spurs,Partizan Belgrade (Serbia),No,Playing Internationally
1,27,Larry Nance Jr.,PF,United States,Los Angeles Lakers,Wyoming,Yes,College Senior
