Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,28,R. J. Hunter,SG,United States,Boston Celtics,Georgia State,Yes,College Junior
1,29,Chris McCullough,PF,United States,Brooklyn Nets,Syracuse,Yes,College Freshman
1,30,Kevon Looney,PF,United States,Golden State Warriors,UCLA,No,College Freshman
2,31,Cedi Osman,SG/SF,Turkey,Minnesota Timberwolves,Anadolu Efes (Turkey),Yes,Playing Internationally
2,32,Montrezl Harrell,PF/C,United States,Houston Rockets,Louisville,Yes,College Junior
2,33,Jordan Mickey,PF,United States,Boston Celtics,LSU,Yes,College Sophmore
2,34,Anthony Brown,SF,United States,Los Angeles Lakers,Stanford,No,College Senior
2,35,Willy Hernangómez,C,Spain,Philadelphia 76ers,Baloncesto Sevilla (Spain),Yes,Playing Internationally
2,36,Rakeem Christmas,PF/C,United States,Minnesota Timberwolves,Syracuse,Yes,College Senior
2,37,Richaun Holmes,SF/PF,United States,Philadelphia 76ers,Bowling Green,Yes,College Senior
2,38,Darrun Hilliard,SG,United States,Detroit Pistons,Villanova,No,College Senior
2,39,Juan Pablo Vaulet,SF,Argentina,Charlotte Hornets,Estudiantes de Bahía (Argentina),Yes,Playing Internationally
2,40,Josh Richardson,SG,United States,Miami Heat,Tennessee,No,College Senior
2,41,Pat Connaughton,SG,United States,Brooklyn Nets,Notre Dame,Yes,College Senior
2,42,Olivier Hanlan,PG,Canada,Utah Jazz,Boston College,No,College Junior
2,43,Joe Young,PG,United States,Indiana Pacers,Oregon,No,College Senior
2,44,Andrew Harrison,PG,United States,Phoenix Suns,Kentucky,Yes,College Sophmore
2,45,Marcus Thornton,PG,United States,Boston Celtics,William & Mary,No,College Senior
2,46,Norman Powell,SG,United States,Milwaukee Bucks,UCLA,Yes,College Senior
2,47,Artūras Gudaitis,C,Lithuania,Philadelphia 76ers,Žalgiris Kaunas (Lithuania),Yes,Playing Internationally
2,48,Dakari Johnson,C,United States,Oklahoma City Thunder,Kentucky,No,College Sophmore
2,49,Aaron White,PF,United States,Washington Wizards,Iowa,No,College Senior
2,50,Marcus Eriksson,SG,Sweden,Atlanta Hawks,FC Barcelona (Spain),Yes,Playing Internationally
2,51,Tyler Harvey,PG,United States,Orlando Magic,Eastern Washington,Yes,College Junior
2,52,Satnam Singh,C,India,Dallas Mavericks,"IMG Academy (Bradenton, Florida; HSPg.)",No,Playing Internationally
2,53,Sir'Dominic Pointer,SF,United States,Cleveland Cavaliers,St. John's,Yes,College Senior
2,54,Dani Díez,SF,Spain,Utah Jazz,Gipuzkoa Basket (Spain),Yes,Playing Internationally
2,55,Cady Lalanne,PF,Haiti,San Antonio Spurs,Massachusetts,No,College Senior
2,56,Branden Dawson,SF,United States,New Orleans Pelicans,Michigan State,Yes,College Senior
2,57,Nikola Radičević,PG,Serbia,Denver Nuggets,Baloncesto Sevilla (Spain),Yes,Playing Internationally
2,58,J. P. Tokoto,SG/SF,United States,Philadelphia 76ers,North Carolina,Yes,College Junior
2,59,Dimitrios Agravanis,PF,Greece,Atlanta Hawks,Olympiacos (Greece),No,Playing Internationally
2,60,Luka Mitrović,PF,Serbia,Philadelphia 76ers,Red Star Belgrade (Serbia),Yes,Playing Internationally
