Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Andrew Bogutx,C,Australia,Milwaukee Bucks,Utah,No,College Sophmore
1,2,Marvin Williams,F,United States,Atlanta Hawks,North Carolina,No,College Freshman
1,3,Deron Williams,PG,United States,Utah Jazz,Illinois,Yes,College Junior
1,4,Chris Paul,PG,United States,New Orleans Hornets,Wake Forest,No,College Sophmore
1,5,Raymond Felton,PG,United States,Charlotte Bobcats,North Carolina,No,College Junior
1,6,Martell Webster,G/F,United States,Portland Trail Blazers,Seattle Prep. School (Seattle),Yes,Playing Internationally
1,7,Charlie Villanueva,F,United States Dominican Republic,Toronto Raptors,Connecticut,No,College Sophmore
1,8,Channing Frye,C,United States,New York Knicks,Arizona,No,College Senior
1,9,Ike Diogu,F,Nigeria,Golden State Warriors,Arizona State,No,College Junior
1,10,Andrew Bynum,C,United States,Los Angeles Lakers,"St. Joseph HS (Metuchen, New Jersey)",No,Playing Internationally
1,11,Fran Vázquez,F/C,Spain,Orlando Magic,Unicaja Málaga (Spain),No,Playing Internationally
1,12,Yaroslav Korolev,F,Russia,Los Angeles Clippers,CSKA Moscow (Russia),No,Playing Internationally
1,13,Sean May,F,United States,Charlotte Bobcats,North Carolina,Yes,College Junior
1,14,Rashad McCants,G,United States,Minnesota Timberwolves,North Carolina,No,College Junior
1,15,Antoine Wright,G/F,United States,New Jersey Nets,Texas A&M,No,College Junior
1,16,Joey Graham,F,United States,Toronto Raptors,Oklahoma State,Yes,College Senior
1,17,Danny Granger,SF,United States,Indiana Pacers,New Mexico,No,College Senior
1,18,Gerald Green,G/F,United States,Boston Celtics,"Gulf Shores Academy (Houston, Texas)",No,Playing Internationally
1,19,Hakim Warrick,F,United States,Memphis Grizzlies,Syracuse,No,College Senior
1,20,Julius Hodge,G,Antigua and Barbuda,Denver Nuggets,NC State,Yes,College Senior
1,21,Nate Robinson,G,United States,Phoenix Suns,Washington,Yes,College Junior
1,22,Jarrett Jack,G,United States,Denver Nuggets,Georgia Tech,Yes,College Junior
1,23,Francisco García,G/F,Dominican Republic,Sacramento Kings,Louisville,No,College Junior
1,24,Luther Head,G,United States,Houston Rockets,Illinois,No,College Senior
1,25,Johan Petro,C,France,Seattle SuperSonics,Pau-Orthez,No,College Freshman
1,26,Jason Maxiell,F,United States,Detroit Pistons,Cincinnati,No,College Senior
1,27,Linas Kleiza,F,Lithuania,Portland Trail Blazers,Missouri,Yes,College Sophmore
1,28,Ian Mahinmi,F/C,France,San Antonio Spurs,Le Havre,No,College Freshman
1,29,Wayne Simien,F,United States,Miami Heat,Kansas,No,College Senior
1,30,David Lee,PF,United States,New York Knicks,Florida,Yes,College Senior
2,31,Salim Stoudamire,G,United States,Atlanta Hawks,Arizona,No,College Senior
2,32,Daniel Ewing,G,United States,Los Angeles Clippers,Duke,Yes,College Senior
2,33,Brandon Bass,F,United States,New Orleans Hornets,LSU,No,College Sophmore
