Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
2,34,C. J. Miles,G,United States,Utah Jazz,Skyline HS (Dallas),No,Playing Internationally
2,35,Ricky Sánchez,F,Puerto Rico,Portland Trail Blazers,"IMG Academy (Bradenton, Florida)",Yes,Playing Internationally
2,36,Ersan İlyasova,F,Turkey,Milwaukee Bucks,Ülkerspor (Turkey),No,Playing Internationally
2,37,Ronny Turiaf,F,France,Los Angeles Lakers,Gonzaga,Yes,College Senior
2,38,Travis Diener,G,United States Italy,Orlando Magic,Marquette,Yes,College Senior
2,39,Von Wafer,G,United States,Los Angeles Lakers,Florida State,No,College Sophmore
2,40,Monta Ellis,SG,United States,Golden State Warriors,"Lanier HS (Jackson, Mississippi)",No,Playing Internationally
2,41,Roko Ukić,G,Croatia,Toronto Raptors,KK Split (Croatia),Yes,Playing Internationally
2,42,Chris Taft,F,United States,Golden State Warriors,Pittsburgh,Yes,College Sophmore
2,43,Mile Ilić,C,Serbia and Montenegro,New Jersey Nets,KK Reflex (Serbia and Montenegro),No,Playing Internationally
2,44,Martynas Andriuškevičius,C,Lithuania,Orlando Magic,Žalgiris Kaunas (Lithuania),Yes,Playing Internationally
2,45,Lou Williams,SG,United States,Philadelphia 76ers,South Gwinnett HS,No,College Sophmore
2,46,Erazem Lorbek,F,Slovenia,Indiana Pacers,Climamio Bologna (Italy),No,Playing Internationally
2,47,Bracey Wright,G,United States,Minnesota Timberwolves,Indiana,No,College Junior
2,48,Mickaël Gelabale,F,France,Seattle SuperSonics,Real Madrid (Spain),Yes,Playing Internationally
2,49,Andray Blatche,F,Philippines,Washington Wizards,South Kent School,No,College Sophmore
2,50,Ryan Gomes,F,United States,Boston Celtics,Providence,No,College Senior
2,51,Robert Whaley,C,United States,Utah Jazz,Walsh,Yes,College Senior
2,52,Axel Hervelle,F,Belgium,Denver Nuggets,Real Madrid (Spain),No,Playing Internationally
2,53,Orien Greene,G,United States,Boston Celtics,Louisiana-Lafayette,Yes,College Senior
2,54,Dijon Thompson,G/F,United States,New York Knicks,UCLA,Yes,College Senior
2,55,Lawrence Roberts,F,United States,Seattle SuperSonics,Mississippi State,Yes,College Senior
2,56,Amir Johnson,F,United States,Detroit Pistons,Westchester HS (Los Angeles),No,Playing Internationally
2,57,Marcin Gortat,F/C,Poland,Phoenix Suns,RheinEnergie Köln (Germany),Yes,Playing Internationally
2,58,Uroš Slokar,F,Slovenia,Toronto Raptors,Snaidero Udine (Italy),Yes,Playing Internationally
2,59,Cenk Akyol,G,Turkey,Atlanta Hawks,Efes Pilsen (Turkey),Yes,Playing Internationally
2,60,Alex Acker,G,United States,Detroit Pistons,Pepperdine,Yes,College Junior
