Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status,Year
1,20,Evan Fournier,SG,France,Denver Nuggets,Poitiers Basket,No,College Freshman,2012
1,21,Jared Sullinger,PF,United States,Boston Celtics,Ohio St.,No,College Sophmore,2012
1,22,Fab Melo,C,Brazil,Boston Celtics,Syracuse,Yes,College Sophmore,2012
1,23,John Jenkins,SG,United States,Atlanta Hawks,Vanderbilt,No,College Junior,2012
1,24,Jared Cunningham,SG,United States,Cleveland Cavaliers,Oregon St.,Yes,College Junior,2012
1,25,Tony Wroten,PG,United States,Memphis Grizzlies,Washington,No,College Freshman,2012
1,26,Miles Plumlee,C,United States,Indiana Pacers,Duke,No,College Senior,2012
1,27,Arnett Moultrie,PF,United States,Miami Heat,Mississippi St.,Yes,College Junior,2012
1,28,Perry Jones III,SF,United States,Oklahoma City Thunder,Baylor,No,College Sophmore,2012
1,29,Marquis Teague,PG,United States,Chicago Bulls,Kentucky,No,College Freshman,2012
1,30,Festus Ezeli,C,Nigeria,Golden State Warriors,Vanderbilt,Yes,College Senior,2012
2,31,Jeffery Taylor,SF,Sweden,Charlotte Bobcats,Vanderbilt,No,College Senior,2012
2,32,Tomáš Satoranský,PG,Czech Republic,Washington Wizards,Banca Cívica Sevilla (Spain),No,Playing Internationally,2012
2,33,Bernard James,C,United States,Cleveland Cavaliers,Florida St.,Yes,College Senior,2012
2,34,Jae Crowder,SF,United States,Cleveland Cavaliers,Marquette,Yes,College Senior,2012
2,35,Draymond Green,PF,United States,Golden State Warriors,Michigan St.,Yes,College Senior,2012
2,36,Orlando Johnson,SG,United States,Sacramento Kings,UC Santa Barbara,Yes,College Senior,2012
2,37,Quincy Acy,PF,United States,Toronto Raptors,Baylor,No,College Senior,2012
2,38,Quincy Miller,SF,United States,Denver Nuggets,Baylor,Yes,College Freshman,2012
2,39,Khris Middleton,SF,United States,Detroit Pistons,Texas A&M,No,College Junior,2012
2,40,Will Barton,SG,United States,Portland Trail Blazers,Memphis,Yes,College Sophmore,2012
