round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
1,17,Shawn Kemp,PF/C,United States,Seattle SuperSonics,"Concord (Elkhart, Indiana)",Yes,Playing Internationally,1989
1,18,B. J. Armstrong,PG,United States,Chicago Bulls,Iowa,No,College Senior,1989
1,19,Kenny Payne,PF,United States,Philadelphia 76ers,Louisville,Yes,College Senior,1989
1,20,Jeff Sanders,PF/C,United States,Chicago Bulls,Georgia Southern,Yes,College Sophmore,1989
1,21,Blue Edwards,SF/SG,United States,Utah Jazz,East Carolina,No,College Senior,1989
1,22,Byron Irvin,SG,United States,Portland Trail Blazers,Missouri,Yes,College Senior,1989
1,23,Roy Marble,SG/SF,United States,Atlanta Hawks,Iowa,No,College Senior,1989
1,24,Anthony Cook,PF/C,United States,Phoenix Suns,Arizona,Yes,College Senior,1989
1,25,John Morton,PG,United States,Cleveland Cavaliers,Seton Hall,No,College Senior,1989
1,26,Vlade Divac^,C,Yugoslavia,Los Angeles Lakers,KK Partizan (Yugoslavia),No,Playing Internationally,1989
1,27,Kenny Battle,PF,United States,Detroit Pistons,Illinois,Yes,College Senior,1989
2,28,Sherman Douglas,G,United States,Miami Heat,Syracuse,No,College Senior,1989
2,29,Dyron Nix,F,United States,Charlotte Hornets,Tennessee,No,College Senior,1989
2,30,Frank Kornet,F,United States,Milwaukee Bucks,Vanderbilt,No,College Senior,1989
2,31,Jeff Martin,G,United States,Los Angeles Clippers,Murray State,No,College Senior,1989
2,32,Stanley Brundy,F,United States,New Jersey Nets,DePaul,No,College Senior,1989
2,33,Jay Edwards,G,United States,Los Angeles Clippers,Indiana,No,College Sophmore,1989
2,34,Gary Leonard,C,United States,Minnesota Timberwolves,Missouri,No,College Senior,1989
2,35,Pat Durham,F,United States,Dallas Mavericks,Colorado State,No,College Senior,1989
2,36,Clifford Robinson,PF/C,United States,Portland Trail Blazers,Connecticut,No,College Senior,1989
2,37,Michael Ansley,F,United States,Orlando Magic,Alabama,No,College Senior,1989
2,38,Doug West,G/F,United States,Minnesota Timberwolves,Villanova,No,College Senior,1989
2,39,Ed Horton,PF/C,United States,Washington Bullets,Iowa,No,College Senior,1989
2,40,Dino Rađa^,PF,Yugoslavia,Boston Celtics,KK Split (Yugoslavia),No,Playing Internationally,1989
2,41,Doug Roth,C,United States,Washington Bullets,Tennessee,No,College Senior,1989
2,42,Michael Cutright,SG,United States,Denver Nuggets,McNeese State,No,College Senior,1989
2,43,Chucky Brown,PF,United States,Cleveland Cavaliers,NC State,No,College Senior,1989
2,44,Reggie Cross,PF,United States,Philadelphia 76ers,Hawaii,No,College Senior,1989
2,45,Scott Haffner,G,United States,Miami Heat,Evansville,No,College Senior,1989
2,46,Ricky Blanton,F,United States,Phoenix Suns,LSU,No,College Senior,1989
2,47,Reggie Turner,SF,United States,Denver Nuggets,UAB,No,College Senior,1989
2,48,Junie Lewis,PG,United States,Utah Jazz,South Alabama,No,College Sophmore,1989
2,49,Haywoode Workman,G,United States,Atlanta Hawks,Oral Roberts,No,College Senior,1989
2,50,Brian Quinnett,F,United States,New York Knicks,Washington State,No,College Senior,1989
2,51,Mike Morrison,G,United States,Phoenix Suns,Loyola,No,College Senior,1989
2,52,Greg Grant,G,United States,Phoenix Suns,Trenton State,No,College Senior,1989
2,53,Jeff Hodge,SG,United States,Dallas Mavericks,South Alabama,No,College Sophmore,1989
2,54,Toney Mack,SG,United States,Philadelphia 76ers,Georgia,No,College Senior,1989
1,1,Derrick Coleman,PF/C,United States,New Jersey Nets,Syracuse,No,College Senior,1990
1,2,Gary Payton^,PG,United States,Seattle SuperSonics,Oregon State,Yes,College Senior,1990
1,3,Chris Jackson,PG,United States,Denver Nuggets,LSU,Yes,College Sophmore,1990
1,4,Dennis Scott,SG/SF,United States,Orlando Magic,Georgia Tech,No,College Junior,1990
1,5,Kendall Gill,SG,United States,Charlotte Hornets,Illinois,No,College Senior,1990
1,6,Felton Spencer,C,United States,Minnesota Timberwolves,Louisville,No,College Senior,1990
1,7,Lionel Simmons,SF,United States,Sacramento Kings,La Salle,No,College Senior,1990
1,8,Bo Kimble,SG,United States,Los Angeles Clippers,Loyola Marymount,No,College Senior,1990
1,9,Willie Burton,SG,United States,Miami Heat,Minnesota,Yes,College Senior,1990
1,10,Rumeal Robinson,PG,United States,Atlanta Hawks,Michigan,Yes,College Senior,1990
1,11,Tyrone Hill,PF,United States,Golden State Warriors,Xavier,Yes,College Senior,1990
1,12,Alec Kessler,PF,United States,Houston Rockets,Georgia,Yes,College Senior,1990
1,13,Loy Vaught,PF,United States,Los Angeles Clippers,Michigan,Yes,College Senior,1990
1,14,Travis Mays,PG,United States,Sacramento Kings,Texas,Yes,College Senior,1990
1,15,Dave Jamerson,SG,United States,Miami Heat,Ohio,Yes,College Senior,1990
1,16,Terry Mills,SF,United States,Milwaukee Bucks,Michigan,No,College Senior,1990
1,17,Jerrod Mustaf,PF/C,United States,New York Knicks,Maryland,No,College Senior,1990
1,18,Duane Causwell,C,United States,Sacramento Kings,Temple,Yes,College Senior,1990
1,19,Dee Brown,SG,United States,Boston Celtics,Jacksonville,No,College Senior,1990
1,20,Gerald Glass,SF/SG,United States,Minnesota Timberwolves,Ole Miss,Yes,College Senior,1990
1,21,Jayson Williams,PF/C,United States,Phoenix Suns,St. John's,No,College Senior,1990
1,22,Tate George,SG,United States,New Jersey Nets,Connecticut,Yes,College Senior,1990
1,23,Anthony Bonner,PF/SF,United States,Sacramento Kings,Saint Louis,Yes,College Senior,1990
1,24,Dwayne Schintzius,C,United States,San Antonio Spurs,Florida,No,College Senior,1990
1,25,Alaa Abdelnaby,PF,United States,Portland Trail Blazers,Duke,No,College Senior,1990
1,26,Lance Blanks,PG/SG,United States,Detroit Pistons,Texas,No,College Senior,1990
1,27,Elden Campbell,PF/C,United States,Los Angeles Lakers,Clemson,No,College Senior,1990
2,28,Les Jepsen,C,United States,Golden State Warriors,Iowa,No,College Senior,1990
2,29,Toni Kukoč^,SF,Yugoslavia,Chicago Bulls,KK Split (Yugoslavia),Yes,Playing Internationally,1990
2,30,Carl Herrera,PF,Venezuela,Miami Heat,Houston,No,College Junior,1990
2,31,Negele Knight,PG,United States,Phoenix Suns,Dayton,No,College Senior,1990
2,32,Brian Oliver,SG,United States,Philadelphia 76ers,Georgia Tech,No,College Senior,1990
2,33,Walter Palmer,C,United States,Utah Jazz,Dartmouth,No,College Senior,1990
2,34,Kevin Pritchard,PG,United States,Golden State Warriors,Kansas,No,College Senior,1990
2,35,Greg Foster,PF/C,United States,Washington Bullets,UTEP,No,College Senior,1990
2,36,Trevor Wilson,SF,United States,Atlanta Hawks,UCLA,No,College Senior,1990
2,37,A. J. English,SG,United States,Washington Bullets,Virginia Union,No,College Senior,1990
2,38,Jud Buechler,SF,United States,Seattle SuperSonics,Arizona,No,College Senior,1990
2,39,Steve Scheffler,C/PF,United States,Charlotte Hornets,Purdue,No,College Senior,1990
2,40,Bimbo Coles,PG,United States,Sacramento Kings,Virginia Tech,No,College Senior,1990
2,41,Steve Bardo,SG,United States,Atlanta Hawks,Illinois,No,College Senior,1990
2,42,Marcus Liberty,SF,United States,Denver Nuggets,Illinois,No,College Sophmore,1990
2,43,Tony Massenburg,PF/C,United States,San Antonio Spurs,Maryland,No,College Senior,1990
2,44,Steve Henson,PG,United States,Milwaukee Bucks,Kansas State,No,College Senior,1990
2,45,Antonio Davis,PF/C,United States,Indiana Pacers,UTEP,No,College Senior,1990
2,46,Kenny Williams,SF/PF,United States,Indiana Pacers,Barton CC,No,College Freshman,1990
2,47,Derek Strong,PF,United States,Philadelphia 76ers,Xavier,No,College Junior,1990
2,48,Cedric Ceballos,SF,United States,Phoenix Suns,Cal State Fullerton,No,College Senior,1990
2,49,Phil Henderson,SG,United States,Dallas Mavericks,Duke,No,College Senior,1990
2,50,Miloš Babić,C,Yugoslavia,Phoenix Suns,Tennessee Tech,No,College Junior,1990
