Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Andrew Wiggins,SF/SG,Canada,Cleveland Cavaliers,Kansas,No,College Freshman
1,2,Jabari Parker,SF/PF,United States,Milwaukee Bucks,Duke,No,College Freshman
1,3,Joel Embiid,C,Cameroon,Philadelphia 76ers,Kansas,No,College Freshman
1,4,Aaron Gordon,PF,United States,Orlando Magic,Arizona,No,College Freshman
1,5,Dante Exum,PG/SG,Australia,Utah Jazz,Australian Institute of Sport,No,Playing Internationally
1,6,Marcus Smart,SG/PG,United States,Boston Celtics,Oklahoma State,No,College Sophmore
1,7,Julius Randle,PF,United States,Los Angeles Lakers,Kentucky,No,College Freshman
1,8,Nik Stauskas,SG,Canada,Sacramento Kings,Michigan,No,College Sophmore
1,9,Noah Vonleh,PF,United States,Charlotte Hornets,Indiana,Yes,College Freshman
1,10,Elfrid Payton,PG,United States,Philadelphia 76ers,Louisiana–Lafayette,Yes,College Junior
1,11,Doug McDermott,SF,United States,Denver Nuggets,Creighton,Yes,College Senior
1,12,Dario Šarić,PF,Croatia,Orlando Magic,Cibona Zagreb (Croatia),Yes,Playing Internationally
1,13,Zach LaVine,SG,United States,Minnesota Timberwolves,UCLA,No,College Freshman
1,14,T. J. Warren,SF,United States,Phoenix Suns,North Carolina State,No,College Sophmore
1,15,Adreian Payne,PF,United States,Atlanta Hawks,Michigan State,No,College Senior
1,16,Jusuf Nurkić,C,Bosnia and Herzegovina,Chicago Bulls,Cedevita Zagreb (Croatia),Yes,Playing Internationally
1,17,James Young,SG/SF,United States,Boston Celtics,Kentucky,Yes,College Freshman
1,18,Tyler Ennis,PG,Canada,Phoenix Suns,Syracuse,Yes,College Freshman
1,19,Gary Harris,SG,United States,Chicago Bulls,Michigan State,Yes,College Sophmore
1,20,Bruno Caboclo,SF,Brazil,Toronto Raptors,EC Pinheiros (Brazil),No,Playing Internationally
1,21,Mitch McGary,PF,United States,Oklahoma City Thunder,Michigan,Yes,College Sophmore
1,22,Jordan Adams,SG,United States,Memphis Grizzlies,UCLA,No,College Sophmore
1,23,Rodney Hood,SG,United States,Utah Jazz,Duke,Yes,College Sophmore
1,24,Shabazz Napier,PG,United States,Charlotte Hornets,Connecticut,Yes,College Senior
1,25,Clint Capela,C,Switzerland,Houston Rockets,Élan Chalon,No,College Freshman
1,26,P. J. Hairston,SG,United States,Miami Heat,Texas Legends (NBA D-League),Yes,Playing Internationally
1,27,Bogdan Bogdanović,SG,Serbia,Phoenix Suns,Partizan Belgrade (Serbia),Yes,Playing Internationally
1,28,C. J. Wilcox,SG,United States,Los Angeles Clippers,Washington,No,College Senior
1,29,Josh Huestis,SF/PF,United States,Oklahoma City Thunder,Stanford,No,College Senior
1,30,Kyle Anderson,SF,United States,San Antonio Spurs,UCLA,No,College Sophmore
2,31,Damien Inglis,SF,France,Milwaukee Bucks,Chorale Roanne,No,College Freshman
2,32,K. J. McDaniels,SF,United States,Philadelphia 76ers,Clemson,No,College Junior
2,33,Joe Harris,SG,United States,Cleveland Cavaliers,Virginia,Yes,College Senior
2,34,Cleanthony Early,SF,United States,New York Knicks,Wichita State,Yes,College Senior
2,35,Jarnell Stokes,PF,United States,Utah Jazz,Tennessee,Yes,College Junior
2,36,Johnny O'Bryant III,PF,United States,Milwaukee Bucks,Louisiana State,Yes,College Junior
2,37,DeAndre Daniels,SF,United States,Toronto Raptors,Connecticut,Yes,College Junior
2,38,Spencer Dinwiddie,PG/SG,United States,Detroit Pistons,Colorado,No,College Junior
2,39,Jerami Grant,SF,United States,Philadelphia 76ers,Syracuse,Yes,College Sophmore
2,40,Glenn Robinson III,SF,United States,Minnesota Timberwolves,Michigan,Yes,College Sophmore
2,41,Nikola Jokić,C,Serbia,Denver Nuggets,Mega Vizura (Serbia),No,Playing Internationally
2,42,Nick Johnson,PG/SG,United States,Houston Rockets,Arizona,Yes,College Junior
2,43,Walter Tavares,C,Cape Verde,Atlanta Hawks,CB Gran Canaria (Spain),No,Playing Internationally
2,44,Markel Brown,SG,United States,Minnesota Timberwolves,Oklahoma State,Yes,College Senior
2,45,Dwight Powell,PF,Canada,Charlotte Hornets,Stanford,No,College Senior
2,46,Jordan Clarkson,PG,United States,Washington Wizards,Missouri,Yes,College Junior
2,47,Russ Smith,PG/SG,United States,Philadelphia 76ers,Louisville,Yes,College Senior
2,48,Lamar Patterson,SG/SF,United States,Milwaukee Bucks,Pittsburgh,Yes,College Senior
2,49,Cameron Bairstow,PF/C,Australia,Chicago Bulls,New Mexico,No,College Senior
2,50,Alec Brown,C,United States,Phoenix Suns,Green Bay,No,College Senior
2,51,Thanasis Antetokounmpo,SF,Greece,New York Knicks,Delaware 87ers (NBA D-League),Yes,Playing Internationally
2,52,Vasilije Micić,PG,Serbia,Philadelphia 76ers,Mega Vizura (Serbia),Yes,Playing Internationally
2,53,Alessandro Gentile,SF,Italy,Minnesota Timberwolves,Olimpia Milano (Italy),Yes,Playing Internationally
2,54,Nemanja Dangubić,SG,Serbia,Philadelphia 76ers,Mega Vizura (Serbia),Yes,Playing Internationally
2,55,Semaj Christon,PG,United States,Miami Heat,Xavier,Yes,College Sophmore
2,56,Devyn Marble,SG/SF,United States,Denver Nuggets,Iowa,Yes,College Senior
2,57,Louis Labeyrie,PF/C,France,Indiana Pacers,Paris-Levallois Basket,Yes,College Freshman
2,58,Jordan McRae,SG,United States,San Antonio Spurs,Tennessee,Yes,College Senior
2,59,Xavier Thames,PG/SG,United States,Toronto Raptors,San Diego State,Yes,College Senior
2,60,Cory Jefferson,PF,United States,San Antonio Spurs,Baylor,Yes,College Senior
