round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Deandre Ayton,C,Bahamas,Phoenix Suns,Arizona,No,College Freshman
1,2,Marvin Bagley III,PF,United States,Sacramento Kings,Duke,No,College Freshman
1,3,Luka Dončić,PG,Slovenia,Atlanta Hawks,Real Madrid (Spain),Yes,Playing Internationally
1,4,Jaren Jackson Jr.,PF,United States,Memphis Grizzlies,Michigan State,No,College Freshman
1,5,Trae Young,PG,United States,Dallas Mavericks,Oklahoma,Yes,College Freshman
1,6,Mo Bamba,C,United States,Orlando Magic,Texas,No,College Freshman
1,7,Wendell Carter Jr.,C,United States,Chicago Bulls,Duke,No,College Freshman
1,8,Collin Sexton,PG,United States,Cleveland Cavaliers,Alabama,Yes,College Freshman
1,9,Kevin Knox,SF,United States,New York Knicks,Kentucky,No,College Freshman
1,10,Mikal Bridges,SF,United States,Philadelphia 76ers,Villanova,Yes,College Junior
1,11,Shai Gilgeous-Alexander,SG,Canada,Charlotte Hornets,Kentucky,Yes,College Freshman
1,12,Miles Bridges,SF,United States,Los Angeles Clippers,Michigan State,Yes,College Sophmore
1,13,Jerome Robinson,SG,United States,Los Angeles Clippers,Boston College,No,College Junior
1,14,Michael Porter Jr.,SF,United States,Denver Nuggets,Missouri,No,College Freshman
1,15,Troy Brown Jr.,SF,United States,Washington Wizards,Oregon,No,College Freshman
1,16,Zhaire Smith,SG,United States,Phoenix Suns,Texas Tech,Yes,College Freshman
1,17,Donte DiVincenzo,SG,United States,Milwaukee Bucks,Villanova,No,College Sophmore
1,18,Lonnie Walker IV,SG,United States,San Antonio Spurs,Miami,No,College Freshman
1,19,Kevin Huerter,SG,United States,Atlanta Hawks,Maryland,Yes,College Sophmore
1,20,Josh Okogie,SG,United States,Minnesota Timberwolves,Georgia Tech,Yes,College Sophmore
1,21,Grayson Allen,SG,United States,Utah Jazz,Duke,No,College Senior
1,22,Chandler Hutchison,SF/SG,United States,Chicago Bulls,Boise State,Yes,College Senior
1,23,Aaron Holiday,PG,United States,Indiana Pacers,UCLA,No,College Junior
1,24,Anfernee Simons,SG,United States,Portland Trail Blazers,"IMG Academy (Bradenton, Florida; HSPg.)",No,Playing Internationally
1,25,Moritz Wagner,PF,Germany,Los Angeles Lakers,Michigan,Yes,College Junior
1,26,Landry Shamet,SG,United States,Philadelphia 76ers,Wichita State,No,College Sophmore
1,27,Robert Williams III,PF/C,United States,Boston Celtics,Texas A&M,No,College Sophmore
1,28,Jacob Evans,SG,United States,Golden State Warriors,Cincinnati,No,College Junior
1,29,Džanan Musa,SF,Bosnia and Herzegovina,Brooklyn Nets,Cedevita Zagreb (Croatia),Yes,Playing Internationally
1,30,Omari Spellman,PF,United States,Atlanta Hawks,Villanova,Yes,College Freshman
2,31,Élie Okobo,PG,France,Phoenix Suns,Pau-Lacq-Orthez,No,College Freshman
2,32,Jevon Carter,PG,United States,Memphis Grizzlies,West Virginia,No,College Senior
2,33,Jalen Brunson,PG,United States,Dallas Mavericks,Villanova,No,College Junior
2,34,Devonte' Graham,PG,United States,Atlanta Hawks,Kansas,Yes,College Senior
2,35,Melvin Frazier,SF,United States,Orlando Magic,Tulane,No,College Junior
2,36,Mitchell Robinson,C,United States,New York Knicks,Chalmette HS,Yes,College Senior
2,37,Gary Trent Jr.,SG,United States,Sacramento Kings,Duke,Yes,College Freshman
2,38,Khyri Thomas,SG,United States,Philadelphia 76ers,Creighton,Yes,College Junior
2,39,Isaac Bonga,SF,Germany,Philadelphia 76ers,Frankfurt Skyliners,Yes,College Freshman
2,40,Rodions Kurucs,SF,Latvia,Brooklyn Nets,FC Barcelona Lassa (Spain),Yes,Playing Internationally
2,41,Jarred Vanderbilt,SF,United States,Orlando Magic,Kentucky,Yes,College Freshman
2,42,Bruce Brown Jr.,SG,United States,Detroit Pistons,Miami,No,College Sophmore
2,43,Justin Jackson,SF,Canada,Denver Nuggets,Maryland,Yes,College Sophmore
2,44,Issuf Sanon,PG,Ukraine,Washington Wizards,Olimpija Ljubljana (Slovenia),No,Playing Internationally
2,45,Hamidou Diallo,SG,United States,Brooklyn Nets,Kentucky,Yes,College Freshman
2,46,De'Anthony Melton,SG,United States,Houston Rockets,USC,Yes,College Sophmore
2,47,Sviatoslav Mykhailiuk,SG,Ukraine,Los Angeles Lakers,Kansas,Yes,College Senior
2,48,Keita Bates-Diop,SF,United States,Minnesota Timberwolves,Ohio State,No,College Junior
2,49,Chimezie Metu,PF,United States,San Antonio Spurs,USC,No,College Junior
2,50,Alize Johnson,PF,United States,Indiana Pacers,Missouri State,No,College Senior
2,51,Tony Carr,PG,United States,New Orleans Pelicans,Penn State,Yes,College Sophmore
2,52,Vincent Edwards,SF,United States,Utah Jazz,Purdue,Yes,College Senior
2,53,Devon Hall,SG,United States,Oklahoma City Thunder,Virginia,No,College Senior
2,54,Shake Milton,SG,United States,Dallas Mavericks,SMU,Yes,College Junior
2,55,Arnoldas Kulboka,SF,Lithuania,Charlotte Hornets,Orlandina Basket (Italy),Yes,Playing Internationally
2,56,Ray Spalding,PF,United States,Philadelphia 76ers,Louisville,Yes,College Junior
2,57,Kevin Hervey,PF,United States,Oklahoma City Thunder,Texas-Arlington,Yes,College Senior
2,58,Thomas Welsh,C,United States,Denver Nuggets,UCLA,Yes,College Senior
2,59,George King,SG,United States,Phoenix Suns,Colorado,Yes,College Senior
2,60,Kostas Antetokounmpo,SF/PF,Greece,Philadelphia 76ers,Dayton,Yes,College Freshman
