round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Greg Oden,C,United States,Portland Trail Blazers,Ohio State,No,College Freshman
1,2,Kevin Durant,SF,United States,Seattle SuperSonics,Texas,No,College Freshman
1,3,Al Horford,C,Dominican Republic,Atlanta Hawks,Florida,No,College Junior
1,4,Mike Conley,PG,United States,Memphis Grizzlies,Ohio State,No,College Freshman
1,5,Jeff Green,SF,United States,Boston Celtics,Georgetown,Yes,College Junior
1,6,Yi Jianlian,PF,China,Milwaukee Bucks,Guangdong Southern Tigers,No,College Sophmore
1,7,Corey Brewer,SF,United States,Minnesota Timberwolves,Florida,No,College Junior
1,8,Brandan Wright,PF,United States,Charlotte Bobcats,North Carolina,Yes,College Freshman
1,9,Joakim Noah,C,France,Chicago Bulls,Florida,Yes,College Junior
1,10,Spencer Hawes,C,United States,Sacramento Kings,Washington,No,College Freshman
1,11,Acie Law,PG,United States,Atlanta Hawks,Texas A&M,Yes,College Senior
1,12,Thaddeus Young,PF,United States,Philadelphia 76ers,Georgia Tech,No,College Freshman
1,13,Julian Wright,SF,United States,New Orleans Hornets,Kansas,No,College Sophmore
1,14,Al Thornton,SF,United States,Los Angeles Clippers,Florida State,No,College Senior
1,15,Rodney Stuckey,SG,United States,Detroit Pistons,Eastern Washington,Yes,College Sophmore
1,16,Nick Young,SG,United States,Washington Wizards,USC,No,College Junior
1,17,Sean Williams,PF,United States,New Jersey Nets,Boston College,No,College Junior
1,18,Marco Belinelli,SG,Italy,Golden State Warriors,Fortitudo Bologna (Italy),No,Playing Internationally
1,19,Javaris Crittenton,PG,United States,Los Angeles Lakers,Georgia Tech,No,College Freshman
1,20,Jason Smith,PF,United States,Miami Heat,Colorado State,Yes,College Junior
1,21,Daequan Cook,SG,United States,Philadelphia 76ers,Ohio State,Yes,College Freshman
1,22,Jared Dudley,SF,United States,Charlotte Bobcats,Boston College,Yes,College Senior
1,23,Wilson Chandler,SF,United States,New York Knicks,DePaul,Yes,College Sophmore
1,24,Rudy Fernández,SG,Spain,Phoenix Suns,Joventut Badalona (Spain),Yes,Playing Internationally
1,25,Morris Almond,SG,United States,Utah Jazz,Rice,No,College Senior
1,26,Aaron Brooks,PG,United States,Houston Rockets,Oregon,No,College Senior
1,27,Arron Afflalo,SG,United States,Detroit Pistons,UCLA,No,College Junior
1,28,Tiago Splitter,C,Brazil,San Antonio Spurs,TAU Cerámica (Spain),No,Playing Internationally
1,29,Alando Tucker,SF,United States,Phoenix Suns,Wisconsin,No,College Senior
1,30,Petteri Koponen,SG,Finland,Philadelphia 76ers,Tapiolan Honka (Finland),Yes,Playing Internationally
2,31,Carl Landry,PF,United States,Seattle SuperSonics,Purdue,Yes,College Senior
2,32,Gabe Pruitt,PG,United States,Boston Celtics,USC,No,College Junior
2,33,Marcus Williams,SF,United States,San Antonio Spurs,Arizona,Yes,College Sophmore
2,34,Nick Fazekas,PF,United States,Dallas Mavericks,Nevada,Yes,College Senior
2,35,Glen Davis,PF,United States,Seattle SuperSonics,LSU,Yes,College Junior
2,36,Jermareo Davidson,PF,United States,Golden State Warriors,Alabama,Yes,College Senior
2,37,Josh McRoberts,PF,United States,Portland Trail Blazers,Duke,No,College Sophmore
2,38,Kyrylo Fesenko,C,Ukraine,Philadelphia 76ers,SK Cherkassy (Ukraine)),Yes,Playing Internationally
2,39,Stanko Barać,C,Croatia,Miami Heat,Široki Brijeg (Bosnia and Herzegovina),Yes,Playing Internationally
2,40,Sun Yue,SF,China,Los Angeles Lakers,Beijing Olympians (ABA),Yes,Playing Internationally
2,41,Chris Richard,PF,United States,Minnesota Timberwolves,Florida,Yes,College Senior
2,42,Derrick Byars,SG,United States,Portland Trail Blazers,Vanderbilt,Yes,College Senior
2,43,Adam Haluska,SG,United States,New Orleans Hornets,Iowa,No,College Senior
2,44,Reyshawn Terry,SF,United States,Orlando Magic,North Carolina,Yes,College Senior
2,45,Jared Jordan,PG,United States,Los Angeles Clippers,Marist,No,College Senior
2,46,Stephane Lasme,PF,Gabon,Golden State Warriors,Massachusetts,Yes,College Senior
2,47,Dominic McGuire,SF,United States,Washington Wizards,Fresno State,No,College Freshman
2,48,Marc Gasol,C,Spain,Los Angeles Lakers,Akasvayu Girona (Spain),No,Playing Internationally
2,49,Aaron Gray,C,United States,Chicago Bulls,Pittsburgh,Yes,College Senior
2,50,Renaldas Seibutis,SG,Lithuania,Dallas Mavericks,Maroussi (Greece),Yes,Playing Internationally
2,51,Jameson Curry,PG,United States,Chicago Bulls,Oklahoma State,Yes,College Junior
2,52,Taurean Green,PG,Georgia,Portland Trail Blazers,Florida,Yes,College Junior
2,53,Demetris Nichols,SF,United States,Portland Trail Blazers,Syracuse,Yes,College Senior
2,54,Brad Newley,SF,Australia,Houston Rockets,Townsville Crocodiles (Australia),Yes,Playing Internationally
2,55,Herbert Hill,PF,United States,Utah Jazz,Providence,Yes,College Senior
2,56,Ramon Sessions,PG,United States,Milwaukee Bucks,Nevada,Yes,College Junior
2,57,Sammy Mejia,SG,Dominican Republic,Detroit Pistons,DePaul,No,College Senior
2,58,Giorgos Printezis,PF,Greece,San Antonio Spurs,Olympia Larissa (Greece),Yes,Playing Internationally
2,59,D.J. Strawberry,PG,United States,Phoenix Suns,Maryland,No,College Senior
2,60,Milovan Raković,C,Serbia,Dallas Mavericks,Mega Ishrana (Serbia),Yes,Playing Internationally
