round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Derrick Coleman,PF/C,United States,New Jersey Nets,Syracuse,No,College Senior
1,2,Gary Payton^,PG,United States,Seattle SuperSonics,Oregon State,Yes,College Senior
1,3,Chris Jackson,PG,United States,Denver Nuggets,LSU,Yes,College Sophmore
1,4,Dennis Scott,SG/SF,United States,Orlando Magic,Georgia Tech,No,College Junior
1,5,Kendall Gill,SG,United States,Charlotte Hornets,Illinois,No,College Senior
1,6,Felton Spencer,C,United States,Minnesota Timberwolves,Louisville,No,College Senior
1,7,Lionel Simmons,SF,United States,Sacramento Kings,La Salle,No,College Senior
1,8,Bo Kimble,SG,United States,Los Angeles Clippers,Loyola Marymount,No,College Senior
1,9,Willie Burton,SG,United States,Miami Heat,Minnesota,Yes,College Senior
1,10,Rumeal Robinson,PG,United States,Atlanta Hawks,Michigan,Yes,College Senior
1,11,Tyrone Hill,PF,United States,Golden State Warriors,Xavier,Yes,College Senior
1,12,Alec Kessler,PF,United States,Houston Rockets,Georgia,Yes,College Senior
1,13,Loy Vaught,PF,United States,Los Angeles Clippers,Michigan,Yes,College Senior
1,14,Travis Mays,PG,United States,Sacramento Kings,Texas,Yes,College Senior
1,15,Dave Jamerson,SG,United States,Miami Heat,Ohio,Yes,College Senior
1,16,Terry Mills,SF,United States,Milwaukee Bucks,Michigan,No,College Senior
1,17,Jerrod Mustaf,PF/C,United States,New York Knicks,Maryland,No,College Senior
1,18,Duane Causwell,C,United States,Sacramento Kings,Temple,Yes,College Senior
1,19,Dee Brown,SG,United States,Boston Celtics,Jacksonville,No,College Senior
1,20,Gerald Glass,SF/SG,United States,Minnesota Timberwolves,Ole Miss,Yes,College Senior
1,21,Jayson Williams,PF/C,United States,Phoenix Suns,St. John's,No,College Senior
1,22,Tate George,SG,United States,New Jersey Nets,Connecticut,Yes,College Senior
1,23,Anthony Bonner,PF/SF,United States,Sacramento Kings,Saint Louis,Yes,College Senior
1,24,Dwayne Schintzius,C,United States,San Antonio Spurs,Florida,No,College Senior
1,25,Alaa Abdelnaby,PF,United States,Portland Trail Blazers,Duke,No,College Senior
1,26,Lance Blanks,PG/SG,United States,Detroit Pistons,Texas,No,College Senior
1,27,Elden Campbell,PF/C,United States,Los Angeles Lakers,Clemson,No,College Senior
2,28,Les Jepsen,C,United States,Golden State Warriors,Iowa,No,College Senior
2,29,Toni Kukoč^,SF,Yugoslavia,Chicago Bulls,KK Split (Yugoslavia),Yes,Playing Internationally
2,30,Carl Herrera,PF,Venezuela,Miami Heat,Houston,No,College Junior
2,31,Negele Knight,PG,United States,Phoenix Suns,Dayton,No,College Senior
2,32,Brian Oliver,SG,United States,Philadelphia 76ers,Georgia Tech,No,College Senior
2,33,Walter Palmer,C,United States,Utah Jazz,Dartmouth,No,College Senior
2,34,Kevin Pritchard,PG,United States,Golden State Warriors,Kansas,No,College Senior
2,35,Greg Foster,PF/C,United States,Washington Bullets,UTEP,No,College Senior
2,36,Trevor Wilson,SF,United States,Atlanta Hawks,UCLA,No,College Senior
2,37,A. J. English,SG,United States,Washington Bullets,Virginia Union,No,College Senior
2,38,Jud Buechler,SF,United States,Seattle SuperSonics,Arizona,No,College Senior
2,39,Steve Scheffler,C/PF,United States,Charlotte Hornets,Purdue,No,College Senior
2,40,Bimbo Coles,PG,United States,Sacramento Kings,Virginia Tech,No,College Senior
2,41,Steve Bardo,SG,United States,Atlanta Hawks,Illinois,No,College Senior
2,42,Marcus Liberty,SF,United States,Denver Nuggets,Illinois,No,College Sophmore
2,43,Tony Massenburg,PF/C,United States,San Antonio Spurs,Maryland,No,College Senior
2,44,Steve Henson,PG,United States,Milwaukee Bucks,Kansas State,No,College Senior
2,45,Antonio Davis,PF/C,United States,Indiana Pacers,UTEP,No,College Senior
2,46,Kenny Williams,SF/PF,United States,Indiana Pacers,Barton CC,No,College Freshman
2,47,Derek Strong,PF,United States,Philadelphia 76ers,Xavier,No,College Junior
2,48,Cedric Ceballos,SF,United States,Phoenix Suns,Cal State Fullerton,No,College Senior
2,49,Phil Henderson,SG,United States,Dallas Mavericks,Duke,No,College Senior
2,50,Miloš Babić,C,Yugoslavia,Phoenix Suns,Tennessee Tech,No,College Junior
2,51,Tony Smith,SG/PG,United States,Los Angeles Lakers,Marquette,Yes,College Senior
2,52,Stefano Rusconi,PF/C,Italy,Cleveland Cavaliers,Ranger Varese (Italy),No,Playing Internationally
2,53,Abdul Shamsid-Deen,C,United States,Seattle SuperSonics,Providence,No,College Senior
2,54,Sean Higgins,SG/SF,United States,San Antonio Spurs,Michigan,Yes,College Junior
