round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Pervis Ellison,PF,United States,Sacramento Kings,Louisville,No,College Senior
1,2,Danny Ferry,PF,United States,Los Angeles Clippers,Duke,No,College Senior
1,3,Sean Elliott,SF/SG,United States,San Antonio Spurs,Arizona,No,College Senior
1,4,Glen Rice,SF,United States,Miami Heat,Michigan,No,College Senior
1,5,J. R. Reid,PF/C,United States,Charlotte Hornets,North Carolina,No,College Junior
1,6,Stacey King,C,United States,Chicago Bulls,Oklahoma,Yes,College Senior
1,7,George McCloud,SG/SF,United States,Indiana Pacers,Florida State,No,College Senior
1,8,Randy White,PF,United States,Dallas Mavericks,Louisiana Tech,No,College Senior
1,9,Tom Hammonds,PF/C,United States,Washington Bullets,Georgia Tech,No,College Senior
1,10,Pooh Richardson,PG,United States,Minnesota Timberwolves,UCLA,No,College Senior
1,11,Nick Anderson,SF/SG,United States,Orlando Magic,Illinois,No,College Junior
1,12,Mookie Blaylock,PG,United States,New Jersey Nets,Oklahoma,Yes,College Senior
1,13,Michael Smith,PF,United States,Boston Celtics,BYU,No,College Senior
1,14,Tim Hardaway^,PG,United States,Golden State Warriors,UTEP,No,College Senior
1,15,Todd Lichti,SG,United States,Denver Nuggets,Stanford,No,College Senior
1,16,Dana Barros,PG,United States,Seattle SuperSonics,Boston College,Yes,College Senior
1,17,Shawn Kemp,PF/C,United States,Seattle SuperSonics,"Concord (Elkhart, Indiana)",Yes,Playing Internationally
1,18,B. J. Armstrong,PG,United States,Chicago Bulls,Iowa,No,College Senior
1,19,Kenny Payne,PF,United States,Philadelphia 76ers,Louisville,Yes,College Senior
1,20,Jeff Sanders,PF/C,United States,Chicago Bulls,Georgia Southern,Yes,College Sophmore
1,21,Blue Edwards,SF/SG,United States,Utah Jazz,East Carolina,No,College Senior
1,22,Byron Irvin,SG,United States,Portland Trail Blazers,Missouri,Yes,College Senior
1,23,Roy Marble,SG/SF,United States,Atlanta Hawks,Iowa,No,College Senior
1,24,Anthony Cook,PF/C,United States,Phoenix Suns,Arizona,Yes,College Senior
1,25,John Morton,PG,United States,Cleveland Cavaliers,Seton Hall,No,College Senior
1,26,Vlade Divac^,C,Yugoslavia,Los Angeles Lakers,KK Partizan (Yugoslavia),No,Playing Internationally
1,27,Kenny Battle,PF,United States,Detroit Pistons,Illinois,Yes,College Senior
2,28,Sherman Douglas,G,United States,Miami Heat,Syracuse,No,College Senior
2,29,Dyron Nix,F,United States,Charlotte Hornets,Tennessee,No,College Senior
2,30,Frank Kornet,F,United States,Milwaukee Bucks,Vanderbilt,No,College Senior
2,31,Jeff Martin,G,United States,Los Angeles Clippers,Murray State,No,College Senior
2,32,Stanley Brundy,F,United States,New Jersey Nets,DePaul,No,College Senior
2,33,Jay Edwards,G,United States,Los Angeles Clippers,Indiana,No,College Sophmore
2,34,Gary Leonard,C,United States,Minnesota Timberwolves,Missouri,No,College Senior
2,35,Pat Durham,F,United States,Dallas Mavericks,Colorado State,No,College Senior
2,36,Clifford Robinson,PF/C,United States,Portland Trail Blazers,Connecticut,No,College Senior
2,37,Michael Ansley,F,United States,Orlando Magic,Alabama,No,College Senior
2,38,Doug West,G/F,United States,Minnesota Timberwolves,Villanova,No,College Senior
2,39,Ed Horton,PF/C,United States,Washington Bullets,Iowa,No,College Senior
2,40,Dino Rađa^,PF,Yugoslavia,Boston Celtics,KK Split (Yugoslavia),No,Playing Internationally
2,41,Doug Roth,C,United States,Washington Bullets,Tennessee,No,College Senior
2,42,Michael Cutright,SG,United States,Denver Nuggets,McNeese State,No,College Senior
2,43,Chucky Brown,PF,United States,Cleveland Cavaliers,NC State,No,College Senior
2,44,Reggie Cross,PF,United States,Philadelphia 76ers,Hawaii,No,College Senior
2,45,Scott Haffner,G,United States,Miami Heat,Evansville,No,College Senior
2,46,Ricky Blanton,F,United States,Phoenix Suns,LSU,No,College Senior
2,47,Reggie Turner,SF,United States,Denver Nuggets,UAB,No,College Senior
2,48,Junie Lewis,PG,United States,Utah Jazz,South Alabama,No,College Sophmore
2,49,Haywoode Workman,G,United States,Atlanta Hawks,Oral Roberts,No,College Senior
2,50,Brian Quinnett,F,United States,New York Knicks,Washington State,No,College Senior
2,51,Mike Morrison,G,United States,Phoenix Suns,Loyola,No,College Senior
2,52,Greg Grant,G,United States,Phoenix Suns,Trenton State,No,College Senior
2,53,Jeff Hodge,SG,United States,Dallas Mavericks,South Alabama,No,College Sophmore
2,54,Toney Mack,SG,United States,Philadelphia 76ers,Georgia,No,College Senior
