round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
2,38,Nate Wolters,PG,United States,Washington Wizards,South Dakota State,Yes,College Sophmore
2,39,Jeff Withey,C,United States,Portland Trail Blazers,Kansas,Yes,College Senior
2,40,Grant Jerrett,PF,United States,Portland Trail Blazers,Arizona,Yes,College Freshman
2,41,Jamaal Franklin,SG,United States,Memphis Grizzlies,San Diego State,Yes,College Junior
2,42,Pierre Jackson,PG,United States,Philadelphia 76ers,Baylor,Yes,College Senior
2,43,Ricky Ledo,SG,United States,Milwaukee Bucks,Providence,Yes,College Freshman
2,44,Mike Muscala,C,United States,Dallas Mavericks,Bucknell,Yes,College Senior
2,45,Marko Todorović,PF/C,Montenegro,Portland Trail Blazers,FC Barcelona (Spain),Yes,Playing Internationally
2,46,Erick Green,PG,United States,Utah Jazz,Virginia Tech,Yes,College Senior
2,47,Raul Neto,PG,Brazil,Atlanta Hawks,Gipuzkoa Basket (Spain),Yes,Playing Internationally
2,48,Ryan Kelly,PF,United States,Los Angeles Lakers,Duke,No,College Senior
2,49,Erik Murphy,PF,Finland,Chicago Bulls,Florida,No,College Senior
2,50,James Ennis,SF,United States,Atlanta Hawks,Long Beach State,Yes,College Senior
2,51,Romero Osby,PF,United States,Orlando Magic,Oklahoma,Yes,College Senior
2,52,Lorenzo Brown,PG,United States,Minnesota Timberwolves,NC State,Yes,College Junior
2,53,Colton Iverson,C,United States,Indiana Pacers,Colorado State,Yes,College Senior
2,54,Arsalan Kazemi,PF,Iran,Washington Wizards,Oregon,Yes,College Senior
2,55,Joffrey Lauvergne,C,France,Memphis Grizzlies,Partizan Belgrade (Serbia),Yes,Playing Internationally
2,56,Peyton Siva,PG,United States,Detroit Pistons,Louisville,Yes,College Senior
2,57,Alex Oriakhi,C,United States,Phoenix Suns,Missouri,Yes,College Senior
2,58,Deshaun Thomas,SF,United States,San Antonio Spurs,Ohio State,No,College Junior
2,59,Bojan Dubljević,PF,Montenegro,Minnesota Timberwolves,Valencia Basket (Spain),Yes,Playing Internationally
2,60,Jānis Timma,SF,Latvia,Memphis Grizzlies,BK Ventspils (Latvia),Yes,Playing Internationally
