round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Anthony Bennett,PF/SF,Canada,Cleveland Cavaliers,UNLV,No,College Freshman
1,2,Victor Oladipo,SG/PG,United States,Orlando Magic,Indiana,No,College Junior
1,3,Otto Porter Jr.,SF,United States,Washington Wizards,Georgetown,No,College Sophmore
1,4,Cody Zeller,C/PF,United States,Charlotte Bobcats,Indiana,No,College Sophmore
1,5,Alex Len,C,Ukraine,Phoenix Suns,Maryland,No,College Sophmore
1,6,Nerlens Noel,C,United States,New Orleans Pelicans,Kentucky,Yes,College Freshman
1,7,Ben McLemore,SG,United States,Sacramento Kings,Kansas,No,College Freshman
1,8,Kentavious Caldwell-Pope,SG,United States,Detroit Pistons,Georgia,No,College Sophmore
1,9,Trey Burke,PG,United States,Minnesota Timberwolves,Michigan,Yes,College Sophmore
1,10,CJ McCollum,SG,United States,Portland Trail Blazers,Lehigh,No,College Senior
1,11,Michael Carter-Williams,PG,United States,Philadelphia 76ers,Syracuse,No,College Sophmore
1,12,Steven Adams,C,New Zealand,Oklahoma City Thunder,Pittsburgh,Yes,College Freshman
1,13,Kelly Olynyk,C,Canada,Dallas Mavericks,Gonzaga,Yes,College Junior
1,14,Shabazz Muhammad,SG/SF,United States,Utah Jazz,UCLA,Yes,College Freshman
1,15,Giannis Antetokounmpo,PF,Greece,Milwaukee Bucks,Filathlitikos (Greece),No,Playing Internationally
1,16,Lucas Nogueira,C,Brazil,Boston Celtics,Estudiantes (Spain),Yes,Playing Internationally
1,17,Dennis Schröder,PG,Germany,Atlanta Hawks,Phantoms Braunschweig (Germany),No,Playing Internationally
1,18,Shane Larkin,PG,United States,Atlanta Hawks,Miami,Yes,College Sophmore
1,19,Sergey Karasev,SG/SF,Russia,Cleveland Cavaliers,Triumph Lyubertsy (Russia),Yes,Playing Internationally
1,20,Tony Snell,SF,United States,Chicago Bulls,New Mexico,No,College Junior
1,21,Gorgui Dieng,C,Senegal,Utah Jazz,Louisville,Yes,College Junior
1,22,Mason Plumlee,C,United States,Brooklyn Nets,Duke,No,College Senior
1,23,Solomon Hill,SF,United States,Indiana Pacers,Arizona,No,College Senior
1,24,Tim Hardaway Jr.,SG,United States,New York Knicks,Michigan,No,College Junior
1,25,Reggie Bullock,SF,United States,Los Angeles Clippers,North Carolina,No,College Junior
1,26,André Roberson,SG/SF,United States,Minnesota Timberwolves,Colorado,Yes,College Junior
1,27,Rudy Gobert,C,France,Denver Nuggets,Cholet Basket,Yes,College Freshman
1,28,Livio Jean-Charles,SF,France,San Antonio Spurs,ASVEL Basket,No,College Freshman
1,29,Archie Goodwin,SG,United States,Oklahoma City Thunder,Kentucky,Yes,College Freshman
1,30,Nemanja Nedović,PG,Serbia,Phoenix Suns,Lietuvos Rytas (Lithuania),Yes,Playing Internationally
2,31,Allen Crabbe,SG,United States,Cleveland Cavaliers,California,Yes,College Junior
2,32,Álex Abrines,SG/SF,Spain,Oklahoma City Thunder,FC Barcelona (Spain),Yes,Playing Internationally
2,33,Carrick Felix,SG,United States,Cleveland Cavaliers,Arizona State,No,College Senior
2,34,Isaiah Canaan,PG,United States,Houston Rockets,Murray State,Yes,College Senior
2,35,Glen Rice Jr.,SG,United States,Philadelphia 76ers,Rio Grande Valley Vipers (NBA D-League),Yes,Playing Internationally
2,36,Ray McCallum Jr.,PG,United States,Sacramento Kings,Detroit,No,College Junior
2,37,Tony Mitchell,PF,United States,Detroit Pistons,North Texas,No,College Sophmore
