Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Kwame Brown,PF,United States,Washington Wizards,"Glynn Academy (Brunswick, Georgia)",No,Playing Internationally
1,2,Tyson Chandler,C,United States,Los Angeles Clippers,"Dominguez HS (Compton, California)",Yes,Playing Internationally
1,3,Pau Gasol,PF/C,Spain,Atlanta Hawks,FC Barcelona (Spain),Yes,Playing Internationally
1,4,Eddy Curry,C,United States,Chicago Bulls,Thornwood HS,No,College Sophmore
1,5,Jason Richardson,SG,United States,Golden State Warriors,Michigan State,No,College Sophmore
1,6,Shane Battier,SF,United States,Vancouver Grizzlies,Duke,No,College Senior
1,7,Eddie Griffin,PF,United States,New Jersey Nets,Seton Hall,Yes,College Freshman
1,8,DeSagana Diop,C,Senegal,Cleveland Cavaliers,"Oak Hill Academy (Mouth of Wilson, Virginia) HS",No,Playing Internationally
1,9,Rodney White,SF/PF,United States,Detroit Pistons,Charlotte,No,College Freshman
1,10,Joe Johnson,SG,United States,Boston Celtics,Arkansas,No,College Sophmore
1,11,Kedrick Brown,SF,United States,Boston Celtics,Okaloosa-Walton CC,Yes,College Sophmore
1,12,Vladimir Radmanović,PF,FR Yugoslavia,Seattle SuperSonics,FMP (Yugoslavia),No,Playing Internationally
1,13,Richard Jefferson,SF,United States,Houston Rockets,Arizona,Yes,College Junior
1,14,Troy Murphy,PF,United States,Golden State Warriors,Notre Dame,Yes,College Junior
1,15,Steven Hunter,C,United States,Orlando Magic,DePaul,No,College Freshman
1,16,Kirk Haston,PF,United States,Charlotte Hornets,Indiana,No,College Junior
1,17,Michael Bradley,PF,United States,Toronto Raptors,Villanova,No,College Junior
1,18,Jason Collins,C,United States,Houston Rockets,Stanford,Yes,College Senior
1,19,Zach Randolph,PF,United States,Portland Trail Blazers,Michigan State,No,College Freshman
1,20,Brendan Haywood,C,United States,Cleveland Cavaliers,North Carolina,Yes,College Senior
1,21,Joseph Forte,SG,United States,Boston Celtics,North Carolina,Yes,College Sophmore
1,22,Jeryl Sasser,SG,United States,Orlando Magic,SMU,Yes,College Senior
1,23,Brandon Armstrong,SG,United States,Houston Rockets,Pepperdine,Yes,College Junior
1,24,Raül López,PG,Spain,Utah Jazz,Real Madrid (Spain),No,Playing Internationally
1,25,Gerald Wallace,SF,United States,Sacramento Kings,Alabama,No,College Freshman
1,26,Samuel Dalembert,C,Canada,Philadelphia 76ers,Seton Hall,No,College Sophmore
1,27,Jamaal Tinsley,PG,United States,Vancouver Grizzlies,Iowa State,Yes,College Senior
1,28,Tony Parker,PG,France,San Antonio Spurs,Paris Basket Racing,No,College Freshman
1,29,Forfeited pick,,,Minnesota Timberwolves,,No,Playing Internationally
2,30,Trenton Hassell,SG,United States,Chicago Bulls,Austin Peay,No,College Senior
2,31,Gilbert Arenas,PG,United States,Golden State Warriors,Arizona,No,College Sophmore
2,32,Omar Cook,PG,United States,Orlando Magic,St. John's,Yes,College Freshman
2,33,Will Solomon,PG,United States,Vancouver Grizzlies,Clemson,No,College Senior
2,34,Brian Scalabrine,SF,United States,New Jersey Nets,USC,No,College Senior
2,35,Terence Morris,PF,United States,Atlanta Hawks,Maryland,No,College Senior
2,36,Jeff Trepagnier,SG,United States,Cleveland Cavaliers,USC,No,College Senior
2,37,Damone Brown,SF,United States,Philadelphia 76ers,Syracuse,Yes,College Senior
2,38,Mehmet Okur,C,Turkey,Detroit Pistons,Efes Pilsen (Turkey),No,Playing Internationally
2,39,Michael Wright,PF,United States,New York Knicks,Arizona,Yes,College Junior
2,40,Earl Watson,PG,United States,Seattle SuperSonics,UCLA,No,College Senior
2,41,Jamison Brewer,PG,United States,Indiana Pacers,Auburn,No,College Sophmore
2,42,Bobby Simmons,F/G,United States,Seattle SuperSonics,DePaul,No,College Junior
2,43,Eric Chenowith,C,United States,New York Knicks,Kansas,Yes,College Senior
2,44,Kyle Hill,PG,United States,Dallas Mavericks,Eastern Illinois,Yes,College Senior
2,45,Sean Lampley,SF,United States,Chicago Bulls,California,Yes,College Senior
2,46,Loren Woods,C,United States,Minnesota Timberwolves,Arizona,No,College Senior
2,47,Ousmane Cisse,PF,Mali,Denver Nuggets,"St. Jude HS (Montgomery, Alabama)",Yes,Playing Internationally
2,48,Antonis Fotsis,SF,Greece,Vancouver Grizzlies,Panathinaikos (Greece) 1981,Yes,Playing Internationally
2,49,Ken Johnson,C,United States,Miami Heat,Ohio State,No,College Senior
2,50,Ruben Boumtje-Boumtje,C,Cameroon,Portland Trail Blazers,Georgetown,No,College Senior
2,51,Alton Ford,PF,United States,Phoenix Suns,Houston,No,College Freshman
2,52,Andre Hutson,PF,United States,Milwaukee Bucks,Michigan State,No,College Senior
2,53,Jarron Collins,F/C,United States,Utah Jazz,Stanford,No,College Senior
2,54,Kenny Satterfield,PG,United States,Dallas Mavericks,Cincinnati,No,College Sophmore
2,55,Maurice Jeffers,SG,United States,Sacramento Kings,Saint Louis,No,College Senior
2,56,Robertas Javtokas,C,Lithuania,San Antonio Spurs,Lietuvos rytas Vilnius (Lithuania),Yes,Playing Internationally
2,57,Alvin Jones,C,Luxembourg,Philadelphia 76ers,Georgia Tech,No,College Senior
2,58,Bryan Bracey,SF,United States,San Antonio Spurs,Oregon,No,College Senior
