Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Yao Ming^,C,China,Houston Rockets,Shanghai Sharks (China),No,Playing Internationally
1,2,Jay Williams,PG,United States,Chicago Bulls,Duke,No,College Junior
1,3,Mike Dunleavy Jr.,SF/SG,United States,Golden State Warriors,Duke,No,College Junior
1,4,Drew Gooden,PF/C,United States,Memphis Grizzlies,Kansas,No,College Junior
1,5,Nikoloz Tskitishvili,PF/C,Georgia,Denver Nuggets,Benetton Treviso (Italy),No,Playing Internationally
1,6,Dajuan Wagner,PG,United States,Cleveland Cavaliers,Memphis,No,College Freshman
1,7,Nenê Hilario,C/PF,Brazil,New York Knicks,Vasco da Gama (Brazil),Yes,Playing Internationally
1,8,Chris Wilcox,PF/C,United States,Los Angeles Clippers,Maryland,Yes,College Sophmore
1,9,Amar'e Stoudemire,PF/C,United States,Phoenix Suns,"Cypress Creek HS (Orlando, Florida)",No,Playing Internationally
1,10,Caron Butler,SF,United States,Miami Heat,Connecticut,No,College Sophmore
1,11,Jared Jeffries,PF/C,United States,Washington Wizards,Indiana,No,College Sophmore
1,12,Melvin Ely,C/PF,United States,Los Angeles Clippers,Fresno State,No,College Freshman
1,13,Marcus Haislip,PF,United States,Milwaukee Bucks,Tennessee,No,College Junior
1,14,Fred Jones,SG,United States,Indiana Pacers,Oregon,No,College Senior
1,15,Boštjan Nachbar,SF/PF,Slovenia,Houston Rockets,Benetton Treviso (Italy),Yes,Playing Internationally
1,16,Jiří Welsch,SG/SF,Czech Republic,Philadelphia 76ers,Union Olimpija (Slovenia and Adriatic League),Yes,Playing Internationally
1,17,Juan Dixon,PG,United States,Washington Wizards,Maryland,Yes,College Senior
1,18,Curtis Borchardt,C,United States,Orlando Magic,Stanford,Yes,College Junior
1,19,Ryan Humphrey,PF,United States,Utah Jazz,Notre Dame,Yes,College Senior
1,20,Kareem Rush,SG,United States,Toronto Raptors,Missouri,Yes,College Junior
1,21,Qyntel Woods,SF,United States,Portland Trail Blazers,Northeast Mississippi CC,No,College Sophmore
1,22,Casey Jacobsen,SG,United States,Phoenix Suns,Stanford,Yes,College Junior
1,23,Tayshaun Prince,SF,United States,Detroit Pistons,Kentucky,No,College Senior
1,24,Nenad Krstić,C/PF,FR Yugoslavia,New Jersey Nets,Partizan Belgrade (Sinalco Superleague and Adriatic League),No,Playing Internationally
1,25,Frank Williams,PG,United States,Denver Nuggets,Illinois,Yes,College Junior
1,26,John Salmons,SF/SG,United States,San Antonio Spurs,Miami,Yes,College Senior
1,27,Chris Jefferies,SF,United States,Los Angeles Lakers,Fresno State,Yes,College Freshman
1,28,Dan Dickau,PG,United States,Sacramento Kings,Gonzaga,Yes,College Senior
1,29,Forfeited pick,,,Minnesota Timberwolves,,No,Playing Internationally
2,30,Steve Logan,PG,United States,Golden State Warriors,Cincinnati,No,College Senior
2,31,Roger Mason Jr.,SG,United States,Chicago Bulls,Virginia,No,College Junior
2,32,Robert Archibald,PF,United Kingdom,Memphis Grizzlies,Illinois,No,College Senior
2,33,Vincent Yarbrough,SF,United States,Denver Nuggets,Tennessee,No,College Senior
2,34,Dan Gadzuric,C,Netherlands,Milwaukee Bucks,UCLA,Yes,College Senior
2,35,Carlos Boozer,PF,United States,Cleveland Cavaliers,Duke,No,College Junior
2,36,Miloš Vujanić,PG,FR Yugoslavia,New York Knicks,Partizan Belgrade (Sinalco Superleague and Adriatic League),No,Playing Internationally
2,37,David Andersen,C,Australia,Atlanta Hawks,Virtus Bologna (Italy),No,Playing Internationally
2,38,Tito Maddox,PG,United States,Houston Rockets,Fresno State,Yes,College Freshman
2,39,Rod Grizzard,SG,United States,Washington Wizards,Alabama,Yes,College Junior
2,40,Juan Carlos Navarro,PG,Spain,Washington Wizards,FC Barcelona (Spain),No,Playing Internationally
2,41,Mario Kasun,C,Croatia,Los Angeles Clippers,Opel Skyliners (Germany),No,Playing Internationally
2,42,Ronald Murray,SG,United States,Milwaukee Bucks,Shaw,No,College Senior
2,43,Jason Jennings,C,United States,Portland Trail Blazers,Arkansas State,Yes,College Senior
2,44,Lonny Baxter,PF,United States,Chicago Bulls,Maryland,Yes,College Senior
2,45,Sam Clancy,PF,United States,Philadelphia 76ers,USC,No,College Senior
2,46,Matt Barnes,SF,United States,Memphis Grizzlies,UCLA,Yes,College Senior
2,47,Jamal Sampson,C,United States,Utah Jazz,California,Yes,College Freshman
2,48,Chris Owens,PF,United States,Milwaukee Bucks,Texas,Yes,College Senior
2,49,Peter Fehse,PF,Germany,Seattle SuperSonics,Halle (Germany),No,Playing Internationally
2,50,Darius Songaila,PF,Lithuania,Boston Celtics,Wake Forest,No,College Senior
2,51,Federico Kammerichs,SF,Argentina,Portland Trail Blazers,Ourense (Spain),No,Playing Internationally
2,52,Marcus Taylor,PG,United States,Minnesota Timberwolves,Michigan State,No,College Sophmore
2,53,Rasual Butler,SF,United States,Miami Heat,La Salle,Yes,College Senior
2,54,Tamar Slay,SG,United States,New Jersey Nets,Marshall,No,College Senior
2,55,Mladen Šekularac,SG,FR Yugoslavia,Dallas Mavericks,FMP Železnik (Sinalco Superleague and Adriatic League),No,Playing Internationally
2,56,Luis Scola,PF,Argentina,San Antonio Spurs,TAU Cerámica (Spain),Yes,Playing Internationally
2,57,Randy Holcomb,PF,United States,San Antonio Spurs,San Diego State,Yes,College Senior
2,58,Corsley Edwards,PF,United States,Sacramento Kings,Central Connecticut,No,College Senior
