Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Dwight Howard,C/PF,United States,Orlando Magic,Southwest Atlanta Christian Academy,No,College Sophmore
1,2,Emeka Okafor,PF/C,United States,Charlotte Bobcats,Connecticut,Yes,College Junior
1,3,Ben Gordon,SG,United Kingdom,Chicago Bulls,Connecticut,No,College Junior
1,4,Shaun Livingston,PG,United States,Los Angeles Clippers,"Peoria HS (Peoria, Illinois)",Yes,Playing Internationally
1,5,Devin Harris,PG,United States,Washington Wizards,Wisconsin,Yes,College Junior
1,6,Josh Childress,G/F,United States,Atlanta Hawks,Stanford,No,College Junior
1,7,Luol Deng,SF,United Kingdom,Phoenix Suns,Duke,Yes,College Freshman
1,8,Rafael Araújo,C,Brazil,Toronto Raptors,BYU,No,College Senior
1,9,Andre Iguodala,SF,United States,Philadelphia 76ers,Arizona,No,College Sophmore
1,10,Luke Jackson,SF,United States,Cleveland Cavaliers,Oregon,No,College Senior
1,11,Andris Biedriņš,C,Latvia,Golden State Warriors,Skonto (Latvia),No,Playing Internationally
1,12,Robert Swift,C,United States,Seattle SuperSonics,"Bakersfield HS (Bakersfield, California)",No,Playing Internationally
1,13,Sebastian Telfair,PG,United States,Portland Trail Blazers,"Lincoln HS (Brooklyn, New York)",No,Playing Internationally
1,14,Kris Humphries,PF,United States,Utah Jazz,Minnesota,No,College Freshman
1,15,Al Jeffersonx,PF/C,United States,Boston Celtics,"Prentiss HS (Prentiss, Mississippi)",No,Playing Internationally
1,16,Kirk Snyder,SG,United States,Utah Jazz,Nevada,Yes,College Junior
1,17,Josh Smith,SF,United States,Atlanta Hawks,"Oak Hill Academy (Mouth of Wilson, Virginia)",Yes,Playing Internationally
1,18,J. R. Smith,SG,United States,New Orleans Hornets,"St. Benedict's Prep (Newark, New Jersey)",No,Playing Internationally
1,19,Dorell Wright,SF,United States,Miami Heat,South Kent School,No,College Sophmore
1,20,Jameer Nelson,PG,United States,Denver Nuggets,Saint Joseph's,Yes,College Senior
1,21,Pavel Podkolzin,C,Russia,Utah Jazz,Metis Varese (Italy),Yes,Playing Internationally
1,22,Victor Khryapa,SF,Russia,New Jersey Nets,CSKA Moscow (Russia),Yes,Playing Internationally
1,23,Sergei Monia,SG,Russia,Portland Trail Blazers,CSKA Moscow (Russia),Yes,Playing Internationally
1,24,Delonte West,PG,United States,Boston Celtics,Saint Joseph's,Yes,College Junior
1,25,Tony Allen,SG,United States,Boston Celtics,Oklahoma State,Yes,College Senior
1,26,Kevin Martin,SG,United States,Sacramento Kings,Western Carolina,No,College Junior
1,27,Saša Vujačić,SG,Slovenia,Los Angeles Lakers,Snaidero Udine (Italy),No,Playing Internationally
1,28,Beno Udrih,PG,Slovenia,San Antonio Spurs,Breil Milano (Italy),No,Playing Internationally
1,29,David Harrison,C,United States,Indiana Pacers,Colorado,No,College Junior
1,–,Forfeited Pick,,,Minnesota Timberwolves,,No,Playing Internationally
2,30,Anderson Varejão,C,Brazil,Orlando Magic,FC Barcelona (Spain),Yes,Playing Internationally
2,31,Jackson Vroman,C,Lebanon,Chicago Bulls,Iowa State,Yes,College Senior
2,32,Peter John Ramos,C,Puerto Rico,Washington Wizards,Caguas (Puerto Rico),No,Playing Internationally
2,33,Lionel Chalmers,PG,United States,Los Angeles Clippers,Xavier,Yes,College Senior
2,34,Donta Smith,SF,Venezuela,Atlanta Hawks,Southeastern Illinois,No,College Sophmore
2,35,Andre Emmett,F/G,United States,Seattle SuperSonics,Texas Tech,Yes,College Senior
2,36,Antonio Burks,PG,United States,Orlando Magic,Memphis,Yes,College Senior
2,37,Royal Ivey,PG,United States,Atlanta Hawks,Texas,Yes,College Senior
2,38,Chris Duhon,PG,United States,Chicago Bulls,Duke,Yes,College Senior
2,39,Albert Miralles,PF,Spain,Toronto Raptors,Roseto Basket (Italy),Yes,Playing Internationally
2,40,Justin Reed,SF,United States,Boston Celtics,Mississippi,No,College Senior
2,41,David Young,G,United States,Seattle SuperSonics,North Carolina Central,No,College Senior
2,42,Viktor Sanikidze,SF,Georgia,Atlanta Hawks,Dijon,Yes,College Freshman
2,43,Trevor Ariza,SF,United States,New York Knicks,UCLA,No,College Freshman
2,44,Tim Pickett,SG,United States,New Orleans Hornets,Florida State,No,College Senior
2,45,Bernard Robinson,SF,United States,Charlotte Bobcats,Michigan,Yes,College Senior
2,46,Ha Seung-Jin,C,South Korea,Portland Trail Blazers,Yonsei University,No,College Sophmore
2,47,Pape Sow,PF,Senegal,Miami Heat,Cal State Fullerton,Yes,College Senior
2,48,Ricky Minard,SG,United States,Sacramento Kings,Morehead State,Yes,College Senior
2,49,Sergei Lishouk,PF,Ukraine,Memphis Grizzlies,Khimik Yuzhny (Ukraine),Yes,Playing Internationally
2,50,Vassilis Spanoulis,PG,Greece,Dallas Mavericks,Maroussi (Greece),Yes,Playing Internationally
2,51,Christian Drejer,SF,Denmark,New Jersey Nets,FC Barcelona (Spain),No,Playing Internationally
2,52,Romain Sato,SG,Central African Republic,San Antonio Spurs,Xavier,Yes,College Senior
2,53,Matt Freije,SF,Lebanon,Miami Heat,Vanderbilt,Yes,College Senior
2,54,Rickey Paulding,SG,United States,Detroit Pistons,Missouri,No,College Senior
2,55,Luis Flores,PG,Dominican Republic,Houston Rockets,Manhattan,Yes,College Senior
2,56,Marcus Douthit,PF,Philippines,Los Angeles Lakers,Providence,No,College Senior
2,57,Sergei Karaulov,G,Russia,San Antonio Spurs,Skha Jakutia Yakutsk (Russia),No,Playing Internationally
2,58,Blake Stepp,PG,United States,Minnesota Timberwolves,Gonzaga,No,College Senior
2,59,Rashad Wright,G,United States,Indiana Pacers,Georgia,No,College Senior
