round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Markelle Fultz,PG/SG,United States,Philadelphia 76ers,Washington,Yes,College Freshman
1,2,Lonzo Ball,PG,United States,Los Angeles Lakers,UCLA,No,College Freshman
1,3,Jayson Tatum,SF,United States,Boston Celtics,Duke,Yes,College Freshman
1,4,Josh Jackson,SF,United States,Phoenix Suns,Kansas,No,College Freshman
1,5,De'Aaron Fox,PG,United States,Sacramento Kings,Kentucky,Yes,College Freshman
1,6,Jonathan Isaac,SF/PF,United States,Orlando Magic,Florida State,No,College Freshman
1,7,Lauri Markkanen,PF,Finland,Minnesota Timberwolves,Arizona,Yes,College Freshman
1,8,Frank Ntilikina,PG,France,New York Knicks,SIG Strasbourg,No,College Freshman
1,9,Dennis Smith Jr.,PG,United States,Dallas Mavericks,NC State,No,College Freshman
1,10,Zach Collins,C/PF,United States,Sacramento Kings,Gonzaga,Yes,College Freshman
1,11,Malik Monk,SG,United States,Charlotte Hornets,Kentucky,No,College Freshman
1,12,Luke Kennard,SG,United States,Detroit Pistons,Duke,No,College Sophmore
1,13,Donovan Mitchell,SG,United States,Denver Nuggets,Louisville,Yes,College Sophmore
1,14,Bam Adebayo,PF/C,United States,Miami Heat,Kentucky,No,College Freshman
1,15,Justin Jackson,SF,United States,Portland Trail Blazers,North Carolina,Yes,College Junior
1,16,Justin Patton,C,United States,Chicago Bulls,Creighton,Yes,College Freshman
1,17,D. J. Wilson,PF/SF,United States,Milwaukee Bucks,Michigan,No,College Junior
1,18,T. J. Leaf,PF,Israel,Indiana Pacers,UCLA,No,College Freshman
1,19,John Collins,PF,United States,Atlanta Hawks,Wake Forest,No,College Sophmore
1,20,Harry Giles,PF/C,United States,Portland Trail Blazers,Duke,Yes,College Freshman
1,21,Terrance Ferguson,SG,United States,Oklahoma City Thunder,Adelaide 36ers (Australia),No,Playing Internationally
1,22,Jarrett Allen,C,United States,Brooklyn Nets,Texas,Yes,College Freshman
1,23,OG Anunoby,SF,United Kingdom,Toronto Raptors,Indiana,Yes,College Sophmore
1,24,Tyler Lydon,PF,United States,Utah Jazz,Syracuse,Yes,College Sophmore
1,25,Anžejs Pasečņiks,C,Latvia,Orlando Magic,Herbalife Gran Canaria (Spain),Yes,Playing Internationally
1,26,Caleb Swanigan,PF,United States,Portland Trail Blazers,Purdue,Yes,College Sophmore
1,27,Kyle Kuzma,PF,United States,Brooklyn Nets,Utah,Yes,College Junior
1,28,Tony Bradley,PF/C,United States,Los Angeles Lakers,North Carolina,Yes,College Freshman
1,29,Derrick White,PG/SG,United States,San Antonio Spurs,Colorado,No,College Senior
1,30,Josh Hart,SG,United States,Utah Jazz,Villanova,Yes,College Senior
2,31,Frank Jackson,PG,United States,Charlotte Hornets,Duke,Yes,College Freshman
2,32,Davon Reed,SG,United States,Phoenix Suns,Miami,No,College Senior
2,33,Wes Iwundu,SF,United States,Orlando Magic,Kansas State,Yes,College Senior
2,34,Frank Mason III,PG,United States,Sacramento Kings,Kansas,Yes,College Senior
2,35,Ivan Rabb,PF,United States,Orlando Magic,California,Yes,College Sophmore
2,36,Jonah Bolden,PF,Australia,Philadelphia 76ers,Crvena zvezda (Serbia),Yes,Playing Internationally
2,37,Semi Ojeleye,SF/PF,United States,Boston Celtics,SMU,Yes,College Junior
2,38,Jordan Bell,PF,United States,Chicago Bulls,Oregon,Yes,College Junior
2,39,Jawun Evans,PG,United States,Philadelphia 76ers,Oklahoma State,Yes,College Sophmore
2,40,Dwayne Bacon,SG,United States,New Orleans Pelicans,Florida State,Yes,College Sophmore
2,41,Tyler Dorsey,SG,Greece,Atlanta Hawks,Oregon,Yes,College Sophmore
2,42,Thomas Bryant,PF,United States,Utah Jazz,Indiana,Yes,College Sophmore
2,43,Isaiah Hartenstein,PF/C,Germany,Houston Rockets,Žalgiris (Lithuania),Yes,Playing Internationally
2,44,Damyean Dotson,SG,United States,New York Knicks,Houston,Yes,College Senior
2,45,Dillon Brooks,SF,Canada,Houston Rockets,Oregon,Yes,College Junior
2,46,Sterling Brown,SG,United States,Philadelphia 76ers,SMU,Yes,College Senior
2,47,Ike Anigbogu,C,United States,Indiana Pacers,UCLA,No,College Freshman
2,48,Sindarius Thornwell,SG,United States,Milwaukee Bucks,South Carolina,Yes,College Sophmore
2,49,Vlatko Čančar,SF,Slovenia,Denver Nuggets,Mega Leks (Serbia),Yes,Playing Internationally
2,50,Mathias Lessort,PF/C,France,Philadelphia 76ers,Nanterre 92,Yes,College Freshman
2,51,Monté Morris,PG,United States,Denver Nuggets,Iowa State,Yes,College Senior
2,52,Edmond Sumner,PG,United States,New Orleans Pelicans,Xavier,Yes,College Junior
2,53,Kadeem Allen,SG,United States,Boston Celtics,Arizona,Yes,College Senior
2,54,Alec Peters,SF,United States,Phoenix Suns,Valparaiso,Yes,College Senior
2,55,Nigel Williams-Goss,PG,United States,Utah Jazz,Gonzaga,No,College Junior
2,56,Jabari Bird,SG,United States,Boston Celtics,California,Yes,College Senior
2,57,Sasha Vezenkov,PF,Bulgaria,Brooklyn Nets,FC Barcelona Lassa (Spain),Yes,Playing Internationally
2,58,Ognjen Jaramaz,PG,Serbia,New York Knicks,Mega Leks (Serbia),Yes,Playing Internationally
2,59,Jaron Blossomgame,SF,United States,San Antonio Spurs,Clemson,No,College Senior
2,60,Alpha Kaba,PF/C,France,Atlanta Hawks,Mega Leks (Serbia),Yes,Playing Internationally
