round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Glenn Robinson,SF,United States,Milwaukee Bucks,Purdue,No,College Junior
1,2,Jason Kidd^,PG,United States,Dallas Mavericks,California,No,College Sophmore
1,3,Grant Hill^,SF,United States,Detroit Pistons,Duke,No,College Senior
1,4,Donyell Marshall,SF,United States,Minnesota Timberwolves,Connecticut,No,College Junior
1,5,Juwan Howard,PF,United States,Washington Bullets,Michigan,No,College Junior
1,6,Sharone Wright,PF/C,United States,Philadelphia 76ers,Clemson,No,College Junior
1,7,Lamond Murray,SF,United States,Los Angeles Clippers,California,No,College Junior
1,8,Brian Grant,PF,United States,Sacramento Kings,Xavier,No,College Senior
1,9,Eric Montross,C,United States,Boston Celtics,North Carolina,No,College Senior
1,10,Eddie Jones,SG,United States,Los Angeles Lakers,Temple,No,College Senior
1,11,Carlos Rogers,SF,United States,Seattle SuperSonics,Tennessee State,Yes,College Senior
1,12,Khalid Reeves,PG,United States,Miami Heat,Arizona,No,College Senior
1,13,Jalen Rose,G/F,United States,Denver Nuggets,Michigan,No,College Junior
1,14,Yinka Dare,C,Nigeria,New Jersey Nets,George Washington,No,College Sophmore
1,15,Eric Piatkowski,SG,United States,Indiana Pacers,Nebraska,No,College Senior
1,16,Clifford Rozier,PF,United States,Golden State Warriors,Louisville,Yes,College Junior
1,17,Aaron McKie,SG,United States,Portland Trail Blazers,Temple,No,College Senior
1,18,Eric Mobley,PF,United States,Milwaukee Bucks,Pittsburgh,Yes,College Senior
1,19,Tony Dumas,SG,United States,Dallas Mavericks,UMKC,Yes,College Senior
1,20,B.J. Tyler,PG,United States,Philadelphia 76ers,Texas,Yes,College Senior
1,21,Dickey Simpkins,PF,United States,Chicago Bulls,Providence,No,College Senior
1,22,Bill Curley,PF,United States,San Antonio Spurs,Boston College,No,College Senior
1,23,Wesley Person,SG,United States,Phoenix Suns,Auburn,No,College Senior
1,24,Monty Williams,SF,United States,New York Knicks,Notre Dame,No,College Senior
1,25,Greg Minor,SG,United States,Los Angeles Clippers,Louisville,Yes,College Senior
1,26,Charlie Ward,PG,United States,New York Knicks,Florida State,Yes,College Senior
1,27,Brooks Thompson,PG,United States,Orlando Magic,Oklahoma State,Yes,College Senior
2,28,Deon Thomas,F/C,United States,Dallas Mavericks,Illinois,No,College Senior
2,29,Antonio Lang,F/G,United States,Phoenix Suns,Duke,No,College Senior
2,30,Howard Eisley,PG,United States,Minnesota Timberwolves,Boston College,No,College Senior
2,31,Rodney Dent,F/C,United States,Orlando Magic,Kentucky,No,College Senior
2,32,Jim McIlvaine,C,United States,Washington Bullets,Marquette,No,College Senior
2,33,Derrick Alston,F,United States,Philadelphia 76ers,Duquesne,No,College Senior
2,34,Gaylon Nickerson,G,United States,Atlanta Hawks,Northwestern Oklahoma State,Yes,College Senior
2,35,Michael Smith,F,United States,Sacramento Kings,Providence,No,College Senior
2,36,Andrei Fetisov,F,Russia,Boston Celtics,Forum Valladolid (Spain),No,Playing Internationally
2,37,Dontonio Wingfield,F,United States,Seattle SuperSonics,Cincinnati,Yes,College Freshman
2,38,Darrin Hancock,G/F,United States,Charlotte Hornets,Kansas,No,College Junior
2,39,Anthony Miller,F,United States,Golden State Warriors,Michigan State,Yes,College Senior
2,40,Jeff Webster,F,United States,Miami Heat,Oklahoma,No,College Senior
2,41,William Njoku,PF,Canada,Indiana Pacers,St. Mary's,No,College Senior
2,42,Gary Collier,SF,United States,Cleveland Cavaliers,Tulsa,No,College Senior
2,43,Shawnelle Scott,C,United States,Portland Trail Blazers,St. John's,No,College Senior
2,44,Damon Bailey,G,United States,Indiana Pacers,Indiana,No,College Senior
2,45,Dwayne Morton,F,United States,Golden State Warriors,Louisville,No,College Senior
2,46,Voshon Lenard,SG,United States,Milwaukee Bucks,Minnesota,Yes,College Junior
2,47,Jamie Watson,F,United States,Utah Jazz,South Carolina,No,College Sophmore
2,48,Jevon Crudup,F/C,United States,Detroit Pistons,Missouri,No,College Senior
2,49,Kris Bruton,SF,United States,Chicago Bulls,Benedict,No,College Senior
2,50,Charles Claxton,C,United States Virgin Islands,Phoenix Suns,Georgia,No,College Junior
2,51,Lawrence Funderburke,PF,United States,Sacramento Kings,Ohio State,Yes,College Senior
2,52,Anthony Goldwire,PG,United States,Phoenix Suns,Houston,Yes,College Senior
2,53,Albert Burditt,PF,United States,Houston Rockets,Texas,No,College Senior
2,54,Željko Rebrača,C,FR Yugoslavia,Seattle SuperSonics,KK Partizan (Yugoslavia),No,Playing Internationally
