round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Zion Williamson,PF,United States,New Orleans Pelicans,Duke,No,College Freshman
1,2,Ja Morant,PG,United States,Memphis Grizzlies,Murray State,No,College Sophmore
1,3,RJ Barrett,SG/SF,Canada,New York Knicks,Duke,No,College Freshman
1,4,De'Andre Hunter,SF,United States,Los Angeles Lakers,Virginia,Yes,College Sophmore
1,5,Darius Garland,PG,United States,Cleveland Cavaliers,Vanderbilt,No,College Freshman
1,6,Jarrett Culver,SG,United States,Phoenix Suns,Texas Tech,Yes,College Sophmore
1,7,Coby White,PG,United States,Chicago Bulls,North Carolina,No,College Freshman
1,8,Jaxson Hayes,C,United States,Atlanta Hawks,Texas,Yes,College Freshman
1,9,Rui Hachimura,PF,Japan,Washington Wizards,Gonzaga,No,College Junior
1,10,Cam Reddish,SF,United States,Atlanta Hawks,Duke,Yes,College Freshman
1,11,Cameron Johnson,SF,United States,Minnesota Timberwolves,North Carolina,Yes,College Senior
1,12,P. J. Washington,PF,United States,Charlotte Hornets,Kentucky,No,College Sophmore
1,13,Tyler Herro,SG,United States,Miami Heat,Kentucky,No,College Freshman
1,14,Romeo Langford,SG,United States,Boston Celtics,Indiana,Yes,College Freshman
1,15,Sekou Doumbouya,SF,France,Detroit Pistons,Limoges CSP,No,College Freshman
1,16,Chuma Okeke,PF,United States,Orlando Magic,Auburn,No,College Sophmore
1,17,Nickeil Alexander-Walker,SG,Canada,Brooklyn Nets,Virginia Tech,Yes,College Sophmore
1,18,Goga Bitadze,C,Georgia,Indiana Pacers,Mega Bemax (Serbia),No,Playing Internationally
1,19,Luka Šamanić,PF,Croatia,San Antonio Spurs,Olimpija Ljubljana (Slovenia),No,Playing Internationally
1,20,Matisse Thybulle,SF,Australia,Boston Celtics,Washington,Yes,College Senior
1,21,Brandon Clarke,PF,Canada,Oklahoma City Thunder,Gonzaga,Yes,College Junior
1,22,Grant Williams,PF,United States,Boston Celtics,Tennessee,No,College Junior
1,23,Darius Bazley,SF,United States,Utah Jazz,Princeton HS,Yes,College Senior
1,24,Ty Jerome,PG,United States,Philadelphia 76ers,Virginia,Yes,College Junior
1,25,Nassir Little,SF,United States,Portland Trail Blazers,North Carolina,No,College Freshman
1,26,Dylan Windler,SF,United States,Cleveland Cavaliers,Belmont,Yes,College Senior
1,27,Mfiondu Kabengele,C,Canada,Brooklyn Nets,Florida State,Yes,College Sophmore
1,28,Jordan Poole,SG,United States,Golden State Warriors,Michigan,No,College Sophmore
1,29,Keldon Johnson,SF,United States,San Antonio Spurs,Kentucky,Yes,College Freshman
1,30,Kevin Porter Jr.,SG,United States,Milwaukee Bucks,USC,Yes,College Freshman
2,31,Nic Claxton,PF,U.S. Virgin Islands,Brooklyn Nets,Georgia,Yes,College Sophmore
2,32,KZ Okpala,SF,United States,Phoenix Suns,Stanford,Yes,College Sophmore
2,33,Carsen Edwards,PG,United States,Philadelphia 76ers,Purdue,Yes,College Junior
2,34,Bruno Fernando,C,Angola,Philadelphia 76ers,Maryland,Yes,College Sophmore
2,35,Didi Louzada,SF,Brazil,Atlanta Hawks,Sesi/Franca,Yes,College Freshman
2,36,Cody Martin,SF,United States,Charlotte Hornets,Nevada,Yes,College Senior
2,37,Deividas Sirvydis,SF,Lithuania,Dallas Mavericks,Rytas Vilnius (Lithuania),Yes,Playing Internationally
2,38,Daniel Gafford,C,United States,Chicago Bulls,Arkansas,Yes,College Sophmore
2,39,Alen Smailagić,C,Serbia,New Orleans Pelicans,Santa Cruz Warriors,Yes,NBA G League Player
2,40,Justin James,SG,United States,Sacramento Kings,Wyoming,Yes,College Senior
2,41,Eric Paschall,PF,United States,Golden State Warriors,Villanova,Yes,College Senior
2,42,Admiral Schofield,SF,United States,Philadelphia 76ers,Tennessee,Yes,College Senior
2,43,Jaylen Nowell,SG,United States,Minnesota Timberwolves,Washington,Yes,College Sophmore
2,44,Bol Bol,C,United States,Miami Heat,Oregon,Yes,College Freshman
2,45,Isaiah Roby,SF,United States,Detroit Pistons,Nebraska,Yes,College Junior
2,46,Talen Horton-Tucker,SG,United States,Orlando Magic,Iowa State,Yes,College Freshman
2,47,Ignas Brazdeikis,SF,Canada,Sacramento Kings,Michigan,Yes,College Freshman
2,48,Terance Mann,SF,United States,Los Angeles Clippers,Florida State,No,College Senior
2,49,Quinndary Weatherspoon,SG,United States,San Antonio Spurs,Mississippi State,No,College Senior
2,50,Jarrell Brantley,PF,United States,Indiana Pacers,Charleston,Yes,College Senior
2,51,Tremont Waters,PG,United States,Boston Celtics,LSU,No,College Sophmore
2,52,Jalen McDaniels,PF,United States,Charlotte Hornets,San Diego State,Yes,College Sophmore
2,53,Justin Wright-Foreman,PG,United States,Utah Jazz,Hofstra,No,College Senior
2,54,Marial Shayok,SG,Canada,Philadelphia 76ers,Iowa State,No,College Senior
2,55,Kyle Guy,SG,United States,New York Knicks,Virginia,Yes,College Junior
2,56,Jaylen Hands,PG,United States,Los Angeles Clippers,UCLA,Yes,College Sophmore
2,57,Jordan Bone,PG,United States,New Orleans Pelicans,Tennessee,Yes,College Junior
2,58,Miye Oni,SG,United States,Golden State Warriors,Yale,Yes,College Junior
2,59,Dewan Hernandez,PF,United States,Toronto Raptors,Miami,No,College Junior
2,60,Vanja Marinković,SG,Serbia,Sacramento Kings,Partizan Belgrade (Serbia),Yes,Playing Internationally
