round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,LeBron James,SF/PF,United States,Cleveland Cavaliers,"St. Vincent–St. Mary HS (Akron, Ohio)",No,Playing Internationally
1,2,Darko Miličić,C,Serbia and Montenegro,Detroit Pistons,Hemofarm Vršac (Serbia and Montenegro),Yes,Playing Internationally
1,3,Carmelo Anthony,SF/PF,United States,Denver Nuggets,Syracuse,No,College Freshman
1,4,Chris Bosh^,PF/C,United States,Toronto Raptors,Georgia Tech,No,College Freshman
1,5,Dwyane Wade,SG,United States,Miami Heat,Marquette,No,College Junior
1,6,Chris Kaman,C,United States,Los Angeles Clippers,Central Michigan,No,College Junior
1,7,Kirk Hinrich,PG,United States,Chicago Bulls,Kansas,No,College Senior
1,8,T. J. Ford,PG,United States,Milwaukee Bucks,Texas,Yes,College Sophmore
1,9,Michael Sweetney,PF,United States,New York Knicks,Georgetown,No,College Junior
1,10,Jarvis Hayes,F/G,United States,Washington Wizards,Georgia,No,College Junior
1,11,Mickaël Piétrus,G/F,France,Golden State Warriors,Pau-Orthez,No,College Freshman
1,12,Nick Collison,PF,United States,Seattle SuperSonics,Kansas,No,College Senior
1,13,Marcus Banks,PG,United States,Memphis Grizzlies,UNLV,Yes,College Senior
1,14,Luke Ridnour,PG,United States,Seattle SuperSonics,Oregon,Yes,College Junior
1,15,Reece Gaines,F/G,United States,Orlando Magic,Louisville,No,College Senior
1,16,Troy Bell,PG,United States,Boston Celtics,Boston College,Yes,College Senior
1,17,Žarko Čabarkapa,SF,Serbia and Montenegro,Phoenix Suns,Budućnost Podgorica (Serbia and Montenegro and Adriatic League),No,Playing Internationally
1,18,David West,PF,United States,New Orleans Hornets,Xavier,No,College Senior
1,19,Sasha Pavlović,F/G,Serbia and Montenegro,Utah Jazz,Budućnost Podgorica (Serbia and Montenegro and Adriatic League),No,Playing Internationally
1,20,Dahntay Jones,SG,United States,Boston Celtics,Duke,Yes,College Senior
1,21,Boris Diaw,PF,France,Atlanta Hawks,Pau-Orthez,Yes,College Freshman
1,22,Zoran Planinić,G/F,Croatia,New Jersey Nets,Cibona Zagreb (Croatia and Adriatic League),No,Playing Internationally
1,23,Travis Outlaw,SF,United States,Portland Trail Blazers,"Starkville HS (Starkville, Mississippi)",No,Playing Internationally
1,24,Brian Cook,PF,United States,Los Angeles Lakers,Illinois,No,College Senior
1,25,Carlos Delfino,SG,Argentina,Detroit Pistons,Skipper Bologna (Italy),No,Playing Internationally
