round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,26,Ndudi Ebi,SF,United Kingdom,Minnesota Timberwolves,"Westbury Christian HS (Houston, Texas)",No,Playing Internationally
1,27,Kendrick Perkins,C,United States,Memphis Grizzlies,"Ozen HS (Beaumont, Texas)",Yes,Playing Internationally
1,28,Leandro Barbosa,SG,Brazil,San Antonio Spurs,Bauru Tilibra (Brazil),Yes,Playing Internationally
1,29,Josh Howard,F/G,United States,Dallas Mavericks,Wake Forest,No,College Senior
2,30,Maciej Lampe,PF,Poland,New York Knicks,Complutense University of Madrid (Spain),Yes,Playing Internationally
2,31,Jason Kapono,F/G,United States,Cleveland Cavaliers,UCLA,No,College Senior
2,32,Luke Walton,SF,United States,Los Angeles Lakers,Arizona,Yes,College Senior
2,33,Jerome Beasley,PF,United States,Miami Heat,North Dakota,No,College Senior
2,34,Sofoklis Schortsanitis,C,Greece,Los Angeles Clippers,Iraklis BC (Greece),No,Playing Internationally
2,35,Szymon Szewczyk,PF,Poland,Milwaukee Bucks,Braunschweig (Germany),Yes,Playing Internationally
2,36,Mario Austin,PF,United States,Chicago Bulls,Mississippi State,No,College Junior
2,37,Travis Hansen,SG,United States,Atlanta Hawks,BYU,No,College Senior
2,38,Steve Blake,PG,United States,Washington Wizards,Maryland,No,College Senior
2,39,Slavko Vraneš,C,Serbia and Montenegro,New York Knicks,Budućnost Podgorica (Serbia and Montenegro and Adriatic League),No,Playing Internationally
2,40,Derrick Zimmerman,PG,United States,Golden State Warriors,Mississippi State,No,College Senior
2,41,Willie Green,SG,United States,Seattle SuperSonics,Detroit,Yes,College Senior
2,42,Zaza Pachulia,PF,Georgia,Orlando Magic,Ülkerspor (Turkey),No,Playing Internationally
2,43,Keith Bogans,SG,United States,Milwaukee Bucks,Kentucky,Yes,College Senior
2,44,Malick Badiane,PF,Senegal,Houston Rockets,Langen (Germany),No,Playing Internationally
2,45,Matt Bonner,F,United States,Chicago Bulls,Florida,Yes,College Senior
2,46,Sani Bečirović,SG,Slovenia,Denver Nuggets,Virtus Bologna (Italy),Yes,Playing Internationally
2,47,Mo Williams,PG,United States,Utah Jazz,Alabama,No,College Sophmore
2,48,James Lang,C,United States,New Orleans Hornets,"Central Park Christian HS (Birmingham, Alabama)",No,Playing Internationally
2,49,James Jones,SF,United States,Indiana Pacers,Miami,No,College Senior
2,50,Paccelis Morlende,PG,France,Philadelphia 76ers,Dijon,Yes,College Freshman
2,51,Kyle Korver,SG,United States,New Jersey Nets,Creighton,Yes,College Senior
2,52,Remon van de Hare,C,Netherlands,Toronto Raptors,FC Barcelona (Spain),Yes,Playing Internationally
2,53,Tommy Smith,PF,United States,Chicago Bulls,Arizona State,Yes,College Senior
2,54,Nedžad Sinanović,C,Bosnia and Herzegovina,Portland Trail Blazers,Brotnjo (Bosnia and Herzegovina),No,Playing Internationally
2,55,Rick Rickert,PF,United States,Minnesota Timberwolves,Minnesota,No,College Sophmore
2,56,Brandon Hunter,PF,United States,Boston Celtics,Ohio,Yes,College Senior
2,57,Xue Yuyang,C,China,Dallas Mavericks,Hong Kong Flying Dragons (China),Yes,Playing Internationally
2,58,Andreas Glyniadakis,C,Greece,Detroit Pistons,AEK (Greece),Yes,Playing Internationally
