Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Allen Iverson^,SG/PG,United States,Philadelphia 76ers,Georgetown,No,College Sophmore
1,2,Marcus Camby,C,United States,Toronto Raptors,Massachusetts,No,College Junior
1,3,Shareef Abdur-Rahim,F,United States,Vancouver Grizzlies,California,No,College Freshman
1,4,Stephon Marbury,G,United States,Milwaukee Bucks,Georgia Tech,Yes,College Freshman
1,5,Ray Allen^,SG,United States,Minnesota Timberwolves,Connecticut,Yes,College Junior
1,6,Antoine Walker,F,United States,Boston Celtics,Kentucky,Yes,College Sophmore
1,7,Lorenzen Wright,C,United States,Los Angeles Clippers,Memphis,No,College Sophmore
1,8,Kerry Kittles,SG,United States,New Jersey Nets,Villanova,No,College Senior
1,9,Samaki Walker,F,United States,Dallas Mavericks,Louisville,Yes,College Sophmore
1,10,Erick Dampier,C,United States,Indiana Pacers,Mississippi State,Yes,College Junior
1,11,Todd Fuller,C,United States,Golden State Warriors,NC State,Yes,College Senior
1,12,Vitaly Potapenko,C,Ukraine,Cleveland Cavaliers,Wright State,Yes,College Sophmore
1,13,Kobe Bryant^,SG,United States,Charlotte Hornets,"Lower Merion HS (Lower Merion, Pennsylvania)",Yes,Playing Internationally
1,14,Peja Stojaković,F,FR Yugoslavia,Sacramento Kings,PAOK (Greece),No,Playing Internationally
1,15,Steve Nash^,PG,Canada,Phoenix Suns,Santa Clara,No,College Senior
1,16,Tony Delk,G,United States,Charlotte Hornets,Kentucky,Yes,College Senior
1,17,Jermaine O'Neal,F/C,United States,Portland Trail Blazers,Eau Claire HS,No,College Sophmore
1,18,John Wallace,F,United States,New York Knicks,Syracuse,Yes,College Senior
1,19,Walter McCarty,F,United States,New York Knicks,Kentucky,Yes,College Senior
1,20,Žydrūnas Ilgauskas,C,Lithuania,Cleveland Cavaliers,Atletas Kaunas (Lithuania),No,Playing Internationally
1,21,Dontae Jones,F,United States,New York Knicks,Mississippi State,No,College Junior
1,22,Roy Rogers,F,United States,Vancouver Grizzlies,Alabama,Yes,College Senior
1,23,Efthimios Rentzias,C,Greece,Denver Nuggets,PAOK (Greece),Yes,Playing Internationally
1,24,Derek Fisher,G,United States,Los Angeles Lakers,Arkansas-Little Rock,No,College Senior
1,25,Martin Müürsepp,F,Estonia,Utah Jazz,Kalev (Estonia),Yes,Playing Internationally
1,26,Jerome Williams,F,United States,Detroit Pistons,Georgetown,Yes,College Senior
1,27,Brian Evans,F,United States,Orlando Magic,Indiana,No,College Senior
1,28,Priest Lauderdale,C,United States,Atlanta Hawks,Peristeri (Greece),Yes,Playing Internationally
1,29,Travis Knight,C,United States,Chicago Bulls,Connecticut,No,College Senior
2,30,Othella Harrington,F/C,United States,Houston Rockets,Georgetown,Yes,College Senior
2,31,Mark Hendrickson,G,United States,Philadelphia 76ers,Washington State,No,College Senior
2,32,Ryan Minor,G,United States,Philadelphia 76ers,Oklahoma,Yes,College Senior
2,33,Moochie Norris,G,United States,Milwaukee Bucks,West Florida,No,College Sophmore
2,34,Shawn Harvey,G,United States,Dallas Mavericks,West Virginia State,No,College Senior
2,35,Joseph Blair,C,United States,Seattle SuperSonics,Arizona,Yes,College Senior
2,36,Doron Sheffer,G,Israel,Los Angeles Clippers,Connecticut,No,College Junior
2,37,Jeff McInnis,G,United States,Denver Nuggets,North Carolina,Yes,College Junior
2,38,Steve Hamer,C,United States,Boston Celtics,Tennessee,No,College Senior
2,39,Russ Millard,F,United States,Phoenix Suns,Iowa,Yes,College Senior
2,40,Marcus Mann,F,United States,Golden State Warriors,Mississippi Valley State,No,College Senior
2,41,Jason Sasser,F,United States,Sacramento Kings,Texas Tech,No,College Senior
2,42,Randy Livingston,G,United States,Houston Rockets,LSU,Yes,College Sophmore
2,43,Ben Davis,F,United States,Phoenix Suns,Arizona,No,College Senior
2,44,Malik Rose,F,United States,Charlotte Hornets,Drexel,No,College Senior
2,45,Joe Vogel,C,Lebanon,Seattle SuperSonics,Colorado State,Yes,College Senior
2,46,Marcus Brown,G,United States,Portland Trail Blazers,Murray State,No,College Senior
2,47,Ron Riley,G/F,United States,Seattle SuperSonics,Arizona State,Yes,College Senior
2,48,Jamie Feick,F,United States,Philadelphia 76ers,Michigan State,Yes,College Senior
2,49,Amal McCaskill,C,United States,Orlando Magic,Marquette,Yes,College Senior
2,50,Terrell Bell,C,United States,Houston Rockets,Georgia,Yes,College Senior
2,51,Chris Robinson,G,United States,Vancouver Grizzlies,Western Kentucky,Yes,College Senior
2,52,Mark Pope,F,United States,Indiana Pacers,Kentucky,No,College Senior
2,53,Jeff Nordgaard,F,Poland,Milwaukee Bucks,Wisconsin–Green Bay,Yes,College Senior
2,54,Shandon Anderson,F,United States,Utah Jazz,Georgia,No,College Senior
2,55,Ronnie Henderson,G,United States,Washington Bullets,LSU,Yes,College Junior
2,56,Reggie Geary,G,United States,Cleveland Cavaliers,Arizona,Yes,College Senior
2,57,Drew Barry,G,United States,Seattle SuperSonics,Georgia Tech,No,College Senior
2,58,Darnell Robinson,F,United States,Dallas Mavericks,Arkansas,Yes,College Junior
