Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Anthony Edwards,SG,United States,Minnesota Timberwolves,Georgia,No,College Freshman
1,2,James Wiseman,C,United States,Golden State Warriors,Memphis,No,College Freshman
1,3,LaMelo Ball,PG,United States,Charlotte Hornets,Illawarra Hawks (Australia),No,Playing Internationally
1,4,Patrick Williams,SF,United States,Chicago Bulls,Florida State,No,College Freshman
1,5,Isaac Okoro,SF,United States,Cleveland Cavaliers,Auburn,No,College Freshman
1,6,Onyeka Okongwu,PF,United States,Atlanta Hawks,USC,No,College Freshman
1,7,Killian Hayes,PG,France,Detroit Pistons,Ratiopharm Ulm (Germany),No,Playing Internationally
1,8,Obi Toppin,PF,United States,New York Knicks,Dayton,No,College Sophmore
1,9,Deni Avdija,SF,Israel,Washington Wizards,Maccabi Tel Aviv (Israel),No,Playing Internationally
1,10,Jalen Smith,PF/C,United States,Phoenix Suns,Maryland,No,College Sophmore
1,11,Devin Vassell,SG,United States,San Antonio Spurs,Florida State,No,College Sophmore
1,12,Tyrese Haliburton,PG,United States,Sacramento Kings,Iowa State,No,College Sophmore
1,13,Kira Lewis Jr.,PG,United States,New Orleans Pelicans,Alabama,No,College Sophmore
1,14,Aaron Nesmith,SF,United States,Boston Celtics,Vanderbilt,Yes,College Sophmore
1,15,Cole Anthony,PG,United States,Orlando Magic,North Carolina,No,College Freshman
1,16,Isaiah Stewart,PF/C,United States,Portland Trail Blazers,Washington,Yes,College Freshman
1,17,Aleksej Pokuševski,SF/PF,Serbia,Minnesota Timberwolves,Olympiacos (Greece),Yes,Playing Internationally
1,18,Josh Green,SG,Australia,Dallas Mavericks,Arizona,No,College Freshman
1,19,Saddiq Bey,SF,United States,Brooklyn Nets,Villanova,Yes,College Sophmore
1,20,Precious Achiuwa,PF,Nigeria,Miami Heat,Memphis,No,College Freshman
1,21,Tyrese Maxey,PG,United States,Philadelphia 76ers,Kentucky,Yes,College Freshman
1,22,Zeke Nnaji,PF/C,United States,Denver Nuggets,Arizona,Yes,College Freshman
1,23,Leandro Bolmaro,SF,Argentina,New York Knicks,FC Barcelona (Spain),Yes,Playing Internationally
1,24,R. J. Hampton,SG,United States,Milwaukee Bucks,New Zealand Breakers (Australia),Yes,Playing Internationally
1,25,Immanuel Quickley,SG,United States,Oklahoma City Thunder,Kentucky,Yes,College Sophmore
1,26,Payton Pritchard,PG,United States,Boston Celtics,Oregon,No,College Senior
1,27,Udoka Azubuike,C,Nigeria,Utah Jazz,Kansas,Yes,College Senior
1,28,Jaden McDaniels,SF,United States,Los Angeles Lakers,Washington,Yes,College Freshman
1,29,Malachi Flynn,PG,United States,Toronto Raptors,San Diego State,No,College Junior
1,30,Desmond Bane,SG,United States,Boston Celtics,TCU,Yes,College Senior
2,31,Tyrell Terry,PG,United States,Dallas Mavericks,Stanford,Yes,College Freshman
2,32,Vernon Carey Jr.,PF,United States,Charlotte Hornets,Duke,Yes,College Freshman
2,33,Daniel Oturu,C,United States,Minnesota Timberwolves,Minnesota,Yes,College Sophmore
2,34,Théo Maledon,PG,France,Philadelphia 76ers,ASVEL Villerbaunne,Yes,College Freshman
2,35,Xavier Tillman,PF,United States,Sacramento Kings,Michigan State,Yes,College Junior
2,36,Tyler Bey,SF,United States,Philadelphia 76ers,Colorado,Yes,College Junior
2,37,Vít Krejčí,PG,Czech Republic,Washington Wizards,Casademont Zaragoza (Spain),Yes,Playing Internationally
2,38,Saben Lee,PG,United States,Utah Jazz,Vanderbilt,Yes,College Junior
2,39,Elijah Hughes,SF,United States,New Orleans Pelicans,Syracuse,Yes,College Junior
2,40,Robert Woodard II,SF,United States,Memphis Grizzlies,Mississippi State,Yes,College Sophmore
2,41,Tre Jones,PG,United States,San Antonio Spurs,Duke,No,College Sophmore
2,42,Nick Richards,C,Jamaica,New Orleans Pelicans,Kentucky,Yes,College Junior
2,43,Jahmi'us Ramsey,SG,United States,Sacramento Kings,Texas Tech,No,College Freshman
2,44,Marko Simonović,C,Montenegro,Chicago Bulls,Mega Soccerbet,Yes,College Sophmore
2,45,Jordan Nwora,SF,Nigeria,Milwaukee Bucks,Louisville,Yes,College Junior
2,46,C. J. Elleby,SG,United States,Portland Trail Blazers,Washington State,No,College Sophmore
2,47,Yam Madar,PG,Israel,Boston Celtics,Hapoel Tel Aviv (Israel),Yes,Playing Internationally
2,48,Nico Mannion,PG,Italy,Golden State Warriors,Arizona,Yes,College Freshman
2,49,Isaiah Joe,SG,United States,Philadelphia 76ers,Arkansas,No,College Sophmore
2,50,Skylar Mays,PG,United States,Atlanta Hawks,LSU,Yes,College Senior
2,51,Justinian Jessup,SG,United States,Golden State Warriors,Boise State,Yes,College Senior
2,52,Kenyon Martin Jr.,SG,United States,Sacramento Kings,IMG Academy (postgraduate),Yes,Playing Internationally
2,53,Cassius Winston,PG,United States,Oklahoma City Thunder,Michigan State,Yes,College Senior
2,54,Cassius Stanley,SG,United States,Indiana Pacers,Duke,No,College Freshman
2,55,Jay Scrubb,SG,United States,Brooklyn Nets,John A. Logan,Yes,College Sophmore
2,56,Grant Riller,SG,United States,Charlotte Hornets,College of Charleston,Yes,College Senior
2,57,Reggie Perry,PF,United States,Los Angeles Clippers,Mississippi State,Yes,College Sophmore
2,58,Paul Reed,PF,United States,Philadelphia 76ers,DePaul,Yes,College Junior
2,59,Jalen Harris,SG,United States,Toronto Raptors,Nevada,No,College Junior
2,60,Sam Merrill,SG,United States,New Orleans Pelicans,Utah State,Yes,College Senior
