round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Magic Johnson^,G/F,United States,Los Angeles Lakers,Michigan State,Yes,College Sophmore
1,2,David Greenwood,F/C,United States,Chicago Bulls,UCLA,No,College Senior
1,3,Bill Cartwright,C,United States,New York Knicks,San Francisco,Yes,College Freshman
1,4,Greg Kelser,F,United States,Detroit Pistons,Michigan State,No,College Senior
1,5,Sidney Moncrief^,G,United States,Milwaukee Bucks,Arkansas,Yes,College Senior
1,6,James Bailey,F/C,United States,Seattle SuperSonics,Rutgers,Yes,College Senior
1,7,Vinnie Johnson,G,United States,Seattle SuperSonics,Baylor,Yes,College Senior
1,8,Calvin Natt,F,United States,New Jersey Nets,Northeast Louisiana,Yes,College Senior
1,9,Larry Demic,F/C,United States,New York Knicks,Arizona,Yes,College Senior
1,10,Roy Hamilton,G,United States,Detroit Pistons,UCLA,Yes,College Senior
1,11,Cliff Robinson,F,United States,New Jersey Nets,USC,Yes,College Sophmore
1,12,Jim Paxson,G/F,United States,Portland Trail Blazers,Dayton,No,College Senior
1,13,Dudley Bradley,G/F,United States,Indiana Pacers,North Carolina,Yes,College Senior
1,14,Brad Holland,G,United States,Los Angeles Lakers,UCLA,No,College Senior
1,15,Phil Hubbard,F/C,United States,Detroit Pistons,Michigan,Yes,College Senior
1,16,Jim Spanarkel,G/F,United States,Philadelphia 76ers,Duke,No,College Senior
1,17,Lee Johnson,F,United States,Houston Rockets,East Texas State,No,College Senior
1,18,Reggie King,F,United States,Kansas City Kings,Alabama,No,College Senior
1,19,Wiley Peck,G,United States,San Antonio Spurs,Mississippi State,No,College Senior
1,20,Larry Knight,F,United States,Utah Jazz,Loyola,Yes,College Senior
1,21,Sly Williams,G/F,United States,New York Knicks,Rhode Island,Yes,College Junior
1,22,Kyle Macy,G,United States,Phoenix Suns,Kentucky,Yes,College Senior
2,23,Tico Brown,G,United States,Utah Jazz,Georgia Tech,No,College Senior
2,24,Johnny High,G,United States,Phoenix Suns,Nevada,Yes,College Senior
2,25,Oliver Mack,G,United States,Los Angeles Lakers,East Carolina,Yes,College Senior
2,26,Bruce Flowers,F,United States,Cleveland Cavaliers,Notre Dame,No,College Senior
2,27,Reggie Carter,G,United States,New York Knicks,St. John's,No,College Senior
2,28,Danny Salisbury,F,United States,Golden State Warriors,Pan American,Yes,College Senior
2,29,Tony Price,G,United States,Detroit Pistons,Pennsylvania,Yes,College Senior
2,30,Gary Garland,G,United States,Denver Nuggets,DePaul,Yes,College Senior
2,31,Edgar Jones,F/C,United States,Milwaukee Bucks,Nevada,No,College Senior
2,32,Tony Zeno,F,United States,Indiana Pacers,Arizona State,No,College Senior
2,33,Lawrence Butler,G,United States,Chicago Bulls,Idaho State,Yes,College Senior
2,34,Kim Goetz,F,United States,New York Knicks,San Diego State,Yes,College Senior
2,35,James Bradley,F,United States,Atlanta Hawks,Memphis State,No,College Senior
2,36,Clint Richardson,G,United States,Philadelphia 76ers,Seattle,Yes,College Senior
2,37,Bernard Toone,F,United States,Philadelphia 76ers,Marquette,No,College Senior
2,38,Larry Wilson,F,United States,Atlanta Hawks,Nicholls State,Yes,College Senior
2,39,Victor King,F,United States,Los Angeles Lakers,Louisiana Tech,No,College Senior
2,40,Andrew Fields,F,United States,Portland Trail Blazers,Cheyney State,Yes,College Senior
2,41,Mark Young,F,United States,Los Angeles Lakers,Fairfield,Yes,College Senior
2,42,Paul Mokeski,F/C,United States,Houston Rockets,Kansas,Yes,College Senior
2,43,Johnny Moore,G,United States,Seattle SuperSonics,Texas,No,College Senior
2,44,Joe DeSantis,G,United States,Washington Bullets,Fairfield,No,College Senior
3,45,Arvid Kramer,C,United States,Utah Jazz,Augustana,No,College Senior
3,47,Calvin Garrett,F,United States,Chicago Bulls,Oral Roberts,Yes,College Senior
3,48,Terry Duerod,G,United States,Detroit Pistons,Detroit,No,College Senior
3,49,Cedrick Hordges,F/C,United States,Chicago Bulls,South Carolina,No,College Sophmore
3,50,Geoff Huston,G,United States,New York Knicks,Texas Tech,No,College Senior
3,53,Wayne Kreklow,G,United States,Boston Celtics,Drake,Yes,College Senior
3,54,Lynbert Johnson,G/F,United States,Golden State Warriors,Wichita State,No,College Senior
3,58,Earl Cureton,F/C,United States,Philadelphia 76ers,Detroit,No,College Senior
3,59,Ricardo Brown,PG,Philippines/,Houston Rockets,Pepperdine,No,College Senior
3,62,Terry Crosby,G,United States,Kansas City Kings,Tennessee,No,College Senior
