round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
3,63,Sylvester Norris,C,United States,San Antonio Spurs,Jackson State,No,College Senior
3,65,Bill Laimbeer,C,United States,Cleveland Cavaliers,Notre Dame,Yes,College Senior
4,67,Greg Deane,G,United States,Utah Jazz,Utah,No,College Senior
4,69,Nikos Galis,G,Greece,Boston Celtics,Seton Hall,No,College Senior
4,73,James Donaldson,C,Great Britain/,Seattle SuperSonics,Washington State,Yes,College Senior
4,82,Jerry Sichting,G,United States,Golden State Warriors,Purdue,Yes,College Senior
4,83,Mike Niles,F,United States,Philadelphia 76ers,Cal State Fullerton,No,College Senior
4,85,John McCullough,G,United States,Kansas City Kings,Oklahoma,No,College Senior
5,98,Billy Reid,G,United States,Indiana Pacers,San Francisco,No,College Freshman
5,104,Allen Leavell,G,United States,Houston Rockets,Oklahoma City,No,College Senior
5,107,Mark Eaton,C,United States,Phoenix Suns,Cypress JC,No,College Freshman
8,165,Charles Jones,F/C,United States,Phoenix Suns,Albany State,No,College Senior
10,185,Paul Dawkins,F,United States,Utah Jazz,Northern Illinois,No,College Senior
10,198,Keith McCord,G,United States,Philadelphia 76ers,UAB,No,College Senior
