Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Michael Olowokandi,C,Nigeria,Los Angeles Clippers,Pacific,No,College Sophmore
1,2,Mike Bibby,PG,United States,Vancouver Grizzlies,Arizona,No,College Sophmore
1,3,Raef LaFrentz,C/F,United States,Denver Nuggets,Kansas,No,College Senior
1,4,Antawn Jamison,F,United States,Toronto Raptors,North Carolina,Yes,College Junior
1,5,Vince Carter,SF/SG,United States,Golden State Warriors,North Carolina,Yes,College Junior
1,6,Robert Traylor,F/C,United States,Dallas Mavericks,Michigan,Yes,College Junior
1,7,Jason Williams,PG,United States,Sacramento Kings,Florida,No,College Junior
1,8,Larry Hughes,SG,United States,Philadelphia 76ers,Saint Louis,No,College Freshman
1,9,Dirk Nowitzki,PF,Germany,Milwaukee Bucks,"DJK Würzburg (Germany, 2nd division)",Yes,Playing Internationally
1,10,Paul Pierce^,SF/SG,United States,Boston Celtics,Kansas,No,College Junior
1,11,Bonzi Wells,G/F,United States,Detroit Pistons,Ball State,No,College Senior
1,12,Michael Doleac,C,United States,Orlando Magic,Utah,No,College Senior
1,13,Keon Clark,F/C,United States,Orlando Magic,UNLV,Yes,College Senior
1,14,Michael Dickerson,SG,United States,Houston Rockets,Arizona,No,College Senior
1,15,Matt Harpring,F/G,United States,Orlando Magic,Georgia Tech,Yes,College Senior
1,16,Bryce Drew,PG,United States,Houston Rockets,Valparaiso,Yes,College Senior
1,17,Radoslav Nesterovič,C,Slovenia,Minnesota Timberwolves,Kinder Bologna (Italy),No,Playing Internationally
1,18,Mirsad Türkcan,PF,Turkey,Houston Rockets,Efes Pilsen (Turkey),Yes,Playing Internationally
1,19,Pat Garrity,PF,United States,Milwaukee Bucks,Notre Dame,Yes,College Senior
1,20,Roshown McLeod,SF,United States,Atlanta Hawks,Duke,No,College Senior
1,21,Ricky Davis,G/F,United States,Charlotte Hornets,Iowa,No,College Freshman
1,22,Brian Skinner,F/C,United States,Los Angeles Clippers,Baylor,Yes,College Senior
1,23,Tyronn Lue,PG,United States,Denver Nuggets,Nebraska,Yes,College Junior
1,24,Felipe López,SG,Dominican Republic,San Antonio Spurs,St. John's,Yes,College Senior
1,25,Al Harrington,F,United States,Indiana Pacers,"St. Patrick's High School (Elizabeth, New Jersey)",No,Playing Internationally
1,26,Sam Jacobson,SG,United States,Los Angeles Lakers,Minnesota,No,College Senior
1,27,Vladimir Stepania,C,Georgia,Seattle SuperSonics,Olimpija Ljubljana (Slovenia),No,Playing Internationally
1,28,Corey Benjamin,SG,United States,Chicago Bulls,Oregon State,No,College Sophmore
1,29,Nazr Mohammed,C/F,United States,Utah Jazz,Kentucky,Yes,College Junior
2,30,Ansu Sesay,SF,United States,Dallas Mavericks,Mississippi,Yes,College Senior
2,31,Ruben Patterson,SF,United States,Los Angeles Lakers,Cincinnati,Yes,College Senior
2,32,Rashard Lewis,PF,United States,Seattle SuperSonics,"Alief Elsik HS (Houston, Texas)",Yes,Playing Internationally
2,33,Jelani McCoy,F/C,United States,Seattle SuperSonics,UCLA,Yes,College Junior
2,34,Shammond Williams,PG,United States,Chicago Bulls,North Carolina,Yes,College Senior
2,35,Bruno Šundov,C,Croatia,Dallas Mavericks,Split (Croatia),No,Playing Internationally
2,36,Jerome James,C,United States,Sacramento Kings,Florida A&M,No,College Junior
2,37,Casey Shaw,C,United States,Philadelphia 76ers,Toledo,No,College Senior
2,38,DeMarco Johnson,PF,United States,New York Knicks,Charlotte,Yes,College Senior
2,39,Rafer Alston,PG,United States,Milwaukee Bucks,Fresno State,No,College Freshman
2,40,Korleone Young,SF,United States,Detroit Pistons,Hargrave Military Academy,No,Playing Internationally
2,41,Cuttino Mobley,SG,United States,Houston Rockets,Rhode Island,No,College Senior
2,42,Miles Simon,SG,United States,Orlando Magic,Arizona,No,College Senior
2,43,Jahidi White,F/C,United States,Washington Wizards,Georgetown,No,College Senior
2,44,Sean Marks,PF,New Zealand,New York Knicks,California,No,College Senior
2,45,Toby Bailey,SG,United States,Los Angeles Lakers,UCLA,Yes,College Senior
2,46,Andrae Patterson,SF,United States,Minnesota Timberwolves,Indiana,No,College Senior
2,47,Tyson Wheeler,PG,United States,Toronto Raptors,Rhode Island,No,College Senior
2,48,Ryan Stack,C,United States,Cleveland Cavaliers,South Carolina,No,College Sophmore
2,49,Cory Carr,SG,United States,Atlanta Hawks,Texas Tech,No,College Senior
2,50,Andrew Betts,C,United Kingdom,Charlotte Hornets,Long Beach State,No,College Senior
2,51,Corey Brewer,PG,United States,Miami Heat,Oklahoma,No,College Senior
2,52,Derrick Dial,SG,United States,San Antonio Spurs,Eastern Michigan,No,College Senior
2,53,Greg Buckner,SG,United States,Dallas Mavericks,Clemson,Yes,College Senior
2,54,Tremaine Fowlkes,SF,United States,Denver Nuggets,Fresno State,Yes,College Freshman
2,55,Ryan Bowen,SF,United States,Denver Nuggets,Iowa,Yes,College Senior
2,56,J. R. Henderson,SF,United States,Vancouver Grizzlies,UCLA,Yes,College Senior
2,57,Torraye Braggs,PF,United States,Utah Jazz,Xavier,No,College Senior
2,58,Maceo Baston,PF,United States,Chicago Bulls,Michigan,No,College Senior
