Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,James Worthy^,SF,United States,Los Angeles Lakers,North Carolina,Yes,College Junior
1,2,Terry Cummings,PF,United States,San Diego Clippers,DePaul,No,College Junior
1,3,Dominique Wilkins^,SF,United States,Utah Jazz,Georgia,Yes,College Junior
1,4,Bill Garnett,SF,United States,Dallas Mavericks,Wyoming,No,College Senior
1,5,LaSalle Thompson,C/PF,United States,Kansas City Kings,Texas,No,College Junior
1,6,Trent Tucker,SG,United States,New York Knicks,Minnesota,No,College Senior
1,7,Quintin Dailey,SG,United States,Chicago Bulls,San Francisco,No,College Freshman
1,8,Clark Kellogg,PF,United States,Indiana Pacers,Ohio State,No,College Junior
1,9,Cliff Levingston,PF,United States,Detroit Pistons,Wichita State,No,College Junior
1,10,Keith Edmonson,SG,United States,Atlanta Hawks,Purdue,No,College Senior
1,11,Fat Lever,PG,United States,Portland Trail Blazers,Arizona State,No,College Senior
1,12,John Bagley,PG,United States,Cleveland Cavaliers,Boston College,Yes,College Junior
1,13,Sleepy Floyd,SG,United States,New Jersey Nets,Georgetown,No,College Senior
1,14,Lester Conner,PG,United States,Golden State Warriors,Oregon State,No,College Senior
1,15,David Thirdkill,SF,United States,Phoenix Suns,Bradley,Yes,College Senior
1,16,Terry Teagle,SG,United States,Houston Rockets,Baylor,No,College Senior
1,17,Brook Steppe,SG,United States,Kansas City Kings,Georgia Tech,Yes,College Senior
1,18,Ricky Pierce,SF,United States,Detroit Pistons,Rice,Yes,College Senior
1,19,Rob Williams,PG,United States,Denver Nuggets,Houston,Yes,College Junior
1,20,Paul Pressey,SF,United States,Milwaukee Bucks,Tulsa,No,College Senior
1,21,Eddie Phillips,SF,United States,New Jersey Nets,Alabama,Yes,College Senior
1,22,Mark McNamara,C,United States,Philadelphia 76ers,California,No,College Senior
1,23,Darren Tillis,C,United States,Boston Celtics,Cleveland State,No,College Senior
2,24,Oliver Robinson,SG,United States,San Antonio Spurs,UAB,No,College Senior
2,25,Bryan Warrick,SG,United States,Washington Bullets,Saint Joseph's,No,College Senior
2,26,Ricky Frazier,SF,United States,Chicago Bulls,Missouri,No,College Senior
2,27,Fred Roberts,PF,United States,Milwaukee Bucks,BYU,No,College Senior
2,28,Dave Magley,PF,United States,Cleveland Cavaliers,Kansas,No,College Senior
2,29,Scott Hastings,F/C,United States,New York Knicks,Arkansas,No,College Senior
2,30,Wallace Bryant,C,United States,Chicago Bulls,San Francisco,No,College Freshman
2,31,Rod Higgins,F/C,United States,Chicago Bulls,Fresno State,No,College Freshman
2,32,Richard Anderson,PF,United States,San Diego Clippers,UC Santa Barbara,No,College Senior
2,33,Linton Townes,SF,United States,Portland Trail Blazers,James Madison,No,College Senior
2,34,Vince Taylor,SF,United States,New York Knicks,Duke,No,College Senior
2,35,Derek Smith,SG,United States,Golden State Warriors,Louisville,No,College Senior
2,36,J. J. Anderson,SF,United States,Philadelphia 76ers,Bradley,No,College Senior
2,37,Audie Norris,C,United States,Portland Trail Blazers,Jackson State,No,College Senior
2,38,Wayne Sappleton,F,United States,Golden State Warriors,Loyola,Yes,College Senior
2,39,Kevin Magee,PF,United States,Phoenix Suns,UC Irvine,No,College Senior
2,40,Guy Morgan,G,United States,Indiana Pacers,Wake Forest,No,College Senior
2,41,Dwight Anderson,G,United States,Washington Bullets,USC,No,College Senior
2,42,Jeff Taylor,SG,United States,Houston Rockets,Texas Tech,No,College Senior
2,43,Jose Slaughter,SG,United States,Indiana Pacers,Portland,No,College Senior
2,44,Mike Gibson,F,United States,Washington Bullets,USC Upstate,No,College Senior
2,45,Russ Schoene,F/C,United States,Philadelphia 76ers,Chattanooga,No,College Senior
2,46,Tony Guy,G,United States,Boston Celtics,Kansas,No,College Senior
3,47,Mike Wilson,G,United States,Cleveland Cavaliers,Marquette,No,College Senior
3,48,Craig Hodges,SG,United States,San Diego Clippers,Long Beach State,No,College Senior
3,50,Corny Thompson,PF,United States,Dallas Mavericks,Connecticut,No,College Senior
3,51,Jim Johnstone,PF/C,United States,Kansas City Kings,Wake Forest,No,College Senior
3,54,Hutch Jones,PG,United States,San Diego Clippers,Vanderbilt,No,College Senior
3,55,Jerry Eaves,PG,United States,Utah Jazz,Louisville,No,College Senior
3,56,Joe Kopicki,PF,United States,Atlanta Hawks,Detroit,No,College Senior
3,60,Chris Engler,C,United States,Golden State Warriors,Wyoming,No,College Senior
3,63,Chuck Nevitt,C,United States,Houston Rockets,NC State,No,College Senior
3,65,John Greig,SF,United States,Seattle SuperSonics,Oregon,No,College Senior
3,69,Perry Moss,PG,United States,Boston Celtics,Northeastern,No,College Senior
4,72,Mark Eaton,C,United States,Utah Jazz,UCLA,No,College Senior
4,74,Mike Sanders,SG,United States,Kansas City Kings,UCLA,No,College Senior
4,76,Chuck Aleksinas,C,United States,Chicago Bulls,Connecticut,No,College Senior
4,78,Walker Russell,SG,United States,Detroit Pistons,Western Michigan,No,College Senior
4,82,Tony Brown,SF/SG,United States,New Jersey Nets,Arkansas,No,College Senior
4,86,Rory White,PF,United States,Phoenix Suns,South Alabama,No,College Sophmore
6,138,John Schweitz,SG,United States,Boston Celtics,Richmond,No,College Senior
7,140,Eddie Hughes,PG,United States,San Diego Clippers,Colorado State,No,College Senior
8,166,Ed Nealy,PF,United States,Kansas City Kings,Kansas State,No,College Senior
10,221,Dale Wilkinson,F,United States,Phoenix Suns,Idaho State,No,College Senior
