round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Kenyon Martin,PF,United States,New Jersey Nets,Cincinnati,No,College Senior
1,2,Stromile Swift,PF/C,United States,Vancouver Grizzlies,LSU,No,College Sophmore
1,3,Darius Miles,SF/PF,United States,Los Angeles Clippers,East St. Louis HS (Illinois),No,Playing Internationally
1,4,Marcus Fizer,PF/SF,United States,Chicago Bulls,Iowa State,No,College Junior
1,5,Mike Miller,SF/SG,United States,Orlando Magic,Florida,Yes,College Sophmore
1,6,DerMarr Johnson,SG/SF,United States,Atlanta Hawks,Cincinnati,No,College Freshman
1,7,Chris Mihm,C/PF,United States,Chicago Bulls,Texas,Yes,College Junior
1,8,Jamal Crawford,SG,United States,Cleveland Cavaliers,Michigan,Yes,College Freshman
1,9,Joel Przybilla,C,United States,Houston Rockets,Minnesota,Yes,College Sophmore
1,10,Keyon Dooling,SG,United States,Orlando Magic,Missouri,Yes,College Sophmore
1,11,Jérome Moïso,PF,France,Boston Celtics,UCLA,No,College Sophmore
1,12,Etan Thomas,PF/C,United States,Dallas Mavericks,Syracuse,No,College Senior
1,13,Courtney Alexander,SG,United States,Orlando Magic,Fresno State,Yes,College Freshman
1,14,Mateen Cleaves,PG,United States,Detroit Pistons,Michigan State,No,College Senior
1,15,Jason Collier,C,United States,Milwaukee Bucks,Georgia Tech,Yes,College Senior
1,16,Hedo Türkoğlu,SF/PF,Turkey,Sacramento Kings,Efes Pilsen (Turkey),No,Playing Internationally
1,17,Desmond Mason,SF/SG,United States,Seattle SuperSonics,Oklahoma State,No,College Senior
1,18,Quentin Richardson,SF/SG,United States,Los Angeles Clippers,DePaul,Yes,College Sophmore
1,19,Jamaal Magloire,PF/C,Canada,Charlotte Hornets,Kentucky,No,College Senior
1,20,Speedy Claxton,PG,United States,Philadelphia 76ers,Hofstra,No,College Senior
1,21,Morris Peterson,SF/SG,United States,Toronto Raptors,Michigan State,Yes,College Senior
1,22,Donnell Harvey,SF,United States,New York Knicks,Florida,Yes,College Freshman
1,23,DeShawn Stevenson,SG,United States,Utah Jazz,Washington Union HS,Yes,College Freshman
1,24,Dalibor Bagarić,C,Croatia,Chicago Bulls,Benston Zagreb (Croatia),Yes,Playing Internationally
1,25,"Iakovos ""Jake"" Tsakalidis",C,Greece,Phoenix Suns,AEK (Greece),No,Playing Internationally
1,26,Mamadou N'Diaye,C,Senegal,Denver Nuggets,Auburn,Yes,College Senior
1,27,Primož Brezec,C,Slovenia,Indiana Pacers,Union Olimpija (Slovenia),No,Playing Internationally
1,28,Erick Barkley,PG,United States,Portland Trail Blazers,St. John's,No,College Sophmore
1,29,Mark Madsen,PF,United States,Los Angeles Lakers,Stanford,No,College Senior
2,30,Marko Jarić,G,FR Yugoslavia,Los Angeles Clippers,Paf Bologna (Italy),No,Playing Internationally
2,31,Dan Langhi,PF,United States,Dallas Mavericks,Vanderbilt,Yes,College Senior
2,32,A.J. Guyton,PG,United States,Chicago Bulls,Indiana,Yes,College Senior
2,33,Jake Voskuhl,C,United States,Chicago Bulls,Connecticut,Yes,College Senior
2,34,Khalid El-Amin,PG,United States,Chicago Bulls,Connecticut,Yes,College Junior
2,35,Mike Smith,F,United States,Washington Wizards,Louisiana-Monroe,No,College Junior
2,36,Soumaila Samake,C,Mali,New Jersey Nets,Cincinnati Stuff (IBL),No,Playing Internationally
2,37,Eddie House,SG,United States,Miami Heat,Arizona State,Yes,College Senior
2,38,Eduardo Nájera,PF,Mexico,Houston Rockets,Oklahoma,Yes,College Senior
2,39,Lavor Postell,SG,United States,New York Knicks,St. John's,Yes,College Senior
2,40,Hanno Möttölä,SF/PF,Finland,Atlanta Hawks,Utah,Yes,College Senior
2,41,Chris Carrawell,SG,United States,San Antonio Spurs,Duke,Yes,College Senior
2,42,Olumide Oyedeji,PF,Nigeria,Seattle SuperSonics,Würzburg (Germany),No,Playing Internationally
2,43,Michael Redd,SG,United States,Milwaukee Bucks,Ohio State,No,College Junior
2,44,Brian Cardinal,PF,United States,Detroit Pistons,Purdue,No,College Senior
2,45,Jabari Smith,C,United States,Sacramento Kings,LSU,No,College Senior
2,46,DeeAndre Hulett,G,United States,Toronto Raptors,COS,No,College Sophmore
2,47,Josip Sesar,G,Croatia,Seattle SuperSonics,Cibona Zagreb (Croatia),Yes,Playing Internationally
2,48,Mark Karcher,PG,United States,Philadelphia 76ers,Temple,No,College Junior
2,49,Jason Hart,PG,United States,Milwaukee Bucks,Syracuse,Yes,College Senior
2,50,Kaniel Dickens,F,United States,Utah Jazz,Idaho,Yes,College Senior
2,51,Igor Rakočević,G,FR Yugoslavia,Minnesota Timberwolves,Red Star Belgrade (Serbia),No,Playing Internationally
2,52,Ernest Brown,C,United States,Miami Heat,Indian Hills CC,No,College Junior
2,53,Dan McClintock,C,United States,Denver Nuggets,Northern Arizona,Yes,College Senior
2,54,Cory Hightower,G,United States,San Antonio Spurs,Indian Hills CC,Yes,College Sophmore
2,55,Chris Porter,F,United States,Golden State Warriors,Auburn,Yes,College Senior
2,56,Jaquay Walls,G,United States,Indiana Pacers,Colorado,No,College Senior
2,57,Scoonie Penn,G,United States,Atlanta Hawks,Ohio State,Yes,College Senior
2,58,Pete Mickeal,F,United States,Dallas Mavericks,Cincinnati,Yes,College Senior
