round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Elton Brand,PF/C,United States,Chicago Bulls,Duke,No,College Sophmore
1,2,Steve Francis,PG,United States,Vancouver Grizzlies,Maryland,Yes,College Junior
1,3,Baron Davis,PG,United States,Charlotte Hornets,UCLA,No,College Sophmore
1,4,Lamar Odom,PF/SF,United States,Los Angeles Clippers,Rhode Island,No,College Freshman
1,5,Jonathan Bender,PF,United States,Toronto Raptors,Picayune Memorial HS,Yes,College Senior
1,6,Wally Szczerbiak,SG/SF,United States,Minnesota Timberwolves,Miami,Yes,College Senior
1,7,Richard Hamilton,SG/SF,United States,Washington Wizards,Connecticut,No,College Junior
1,8,Andre Miller,PG,United States,Cleveland Cavaliers,Utah,Yes,College Senior
1,9,Shawn Marion,SF/PF,United States,Phoenix Suns,UNLV,Yes,College Junior
1,10,Jason Terry,SG/PG,United States,Atlanta Hawks,Arizona,Yes,College Senior
1,11,Trajan Langdon,SG,United States,Cleveland Cavaliers,Duke,No,College Senior
1,12,Aleksandar Radojević,C,FR Yugoslavia,Toronto Raptors,Barton County CC,No,College Sophmore
1,13,Corey Maggette,SF/SG,United States,Seattle SuperSonics,Duke,Yes,College Freshman
1,14,William Avery,PG,United States,Minnesota Timberwolves,Duke,No,College Sophmore
1,15,Frédéric Weis,C,France,New York Knicks,Limoges,No,College Freshman
1,16,Ron Artest*,SF,United States,Chicago Bulls,St. John's,Yes,College Sophmore
1,17,Cal Bowdler,PF,Ireland,Atlanta Hawks,Old Dominion,Yes,College Senior
1,18,James Posey,SG/SF,United States,Denver Nuggets,Xavier,Yes,College Junior
1,19,Quincy Lewis,SF,United States,Utah Jazz,Minnesota,Yes,College Senior
1,20,Dion Glover,SG,United States,Atlanta Hawks,Georgia Tech,Yes,College Sophmore
1,21,Jeff Foster,PF,United States,Golden State Warriors,Southwest Texas State,Yes,College Sophmore
1,22,Kenny Thomas,PF,United States,Houston Rockets,New Mexico,No,College Senior
1,23,Devean George,SF,United States,Los Angeles Lakers,Augsburg,No,College Senior
1,24,Andrei Kirilenko,SF,Russia,Utah Jazz,CSKA Moscow (Russia),Yes,Playing Internationally
1,25,Tim James,SF,United States,Miami Heat,Miami,No,College Senior
1,26,Vonteego Cummings,PG,United States,Indiana Pacers,Pittsburgh,Yes,College Senior
1,27,Jumaine Jones,SF,United States,Atlanta Hawks,Georgia,Yes,College Sophmore
1,28,Scott Padgett,PF,United States,Utah Jazz,Kentucky,No,College Senior
1,29,Leon Smith,PF,United States,San Antonio Spurs,King College Prep HS,Yes,College Senior
2,30,John Celestand,PG,United States,Los Angeles Lakers,Villanova,Yes,College Senior
2,31,Rico Hill,F,United States,Los Angeles Clippers,Illinois State,No,College Junior
2,32,Michael Ruffin,PF,United States,Chicago Bulls,Tulsa,No,College Senior
2,33,Chris Herren,G,United States,Denver Nuggets,Fresno State,No,College Freshman
2,34,Evan Eschmeyer,C,United States,New Jersey Nets,Northwestern,No,College Senior
2,35,Calvin Booth,C,United States,Washington Wizards,Penn State,No,College Senior
2,36,Wang Zhizhi,C,China,Dallas Mavericks,Bayi Rockets (China),No,Playing Internationally
2,37,Obinna Ekezie,C,Nigeria,Vancouver Grizzlies,Maryland,Yes,College Senior
2,38,Laron Profit,SG/SF,United States,Orlando Magic,Maryland,Yes,College Senior
2,39,A. J. Bramlett,C,United States,Cleveland Cavaliers,Arizona,No,College Senior
2,40,Gordan Giriček,G/F,Croatia,Dallas Mavericks,Cibona Zagreb (Croatia),Yes,Playing Internationally
2,41,Francisco Elson,C,Netherlands,Denver Nuggets,California,No,College Senior
2,42,Louis Bullock,G,United States,Minnesota Timberwolves,Michigan,Yes,College Senior
2,43,Lee Nailon,SF,United States,Charlotte Hornets,TCU,No,College Senior
2,44,Tyrone Washington,C,United States,Houston Rockets,Mississippi State,Yes,College Senior
2,45,Ryan Robertson,G,United States,Sacramento Kings,Kansas,No,College Senior
2,46,J. R. Koch,F,United States,New York Knicks,Iowa,No,College Senior
2,47,Todd MacCulloch,C,Canada,Philadelphia 76ers,Washington,No,College Senior
2,48,Galen Young,G,United States,Milwaukee Bucks,Charlotte,No,College Senior
2,49,Lari Ketner,C,United States,Chicago Bulls,UMass,Yes,College Senior
2,50,Venson Hamilton,C,United States,Houston Rockets,Nebraska,No,College Senior
2,51,Antwain Smith,F,United States,Vancouver Grizzlies,Saint Paul's,Yes,College Senior
2,52,Roberto Bergersen,G,United States,Atlanta Hawks,Boise State,No,College Senior
2,53,Rodney Buford,SG,United States,Miami Heat,Creighton,No,College Senior
2,54,Melvin Levett,SG,United States,Detroit Pistons,Cincinnati,Yes,College Senior
2,55,Kris Clack,G,United States,Boston Celtics,Texas,Yes,College Senior
2,56,Tim Young,C,United States,Golden State Warriors,Stanford,Yes,College Senior
2,57,Manu Ginóbili^,SG,Argentina,San Antonio Spurs,Viola Reggio Calabria (Italy 2nd),No,Playing Internationally
2,58,Eddie Lucas,G,United States,Utah Jazz,Virginia Tech,No,College Senior
