round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status
1,1,Tim Duncan^,PF/C,United States,San Antonio Spurs,Wake Forest,No,College Senior
1,2,Keith Van Horn,PF,United States,Philadelphia 76ers,Utah,No,College Senior
1,3,Chauncey Billups,PG,United States,Boston Celtics,Colorado,No,College Sophmore
1,4,Antonio Daniels,PG,United States,Vancouver Grizzlies,Bowling Green,No,College Senior
1,5,Tony Battie,C/F,United States,Denver Nuggets,Texas Tech,No,College Junior
1,6,Ron Mercer,SF,United States,Boston Celtics,Kentucky,Yes,College Sophmore
1,7,Tim Thomas,SF,United States,New Jersey Nets,Villanova,No,College Freshman
1,8,Adonal Foyle,C,Saint Vincent and the Grenadines,Golden State Warriors,Colgate,No,College Junior
1,9,Tracy McGrady^,SG/SF,United States,Toronto Raptors,"Mt. Zion Christian Academy (Durham, North Carolina)",No,Playing Internationally
1,10,Danny Fortson,PF,United States,Milwaukee Bucks,Cincinnati,No,College Junior
1,11,Tariq Abdul-Wahad,SF,France,Sacramento Kings,San Jose State,No,College Senior
1,12,Austin Croshere,PF,United States,Indiana Pacers,Providence,No,College Senior
1,13,Derek Anderson,SG,United States,Cleveland Cavaliers,Kentucky,No,College Senior
1,14,Maurice Taylor,PF,United States,Los Angeles Clippers,Michigan,No,College Junior
1,15,Kelvin Cato,C,United States,Dallas Mavericks,Iowa State,Yes,College Junior
1,16,Brevin Knight,PG,United States,Cleveland Cavaliers,Stanford,Yes,College Senior
1,17,Johnny Taylor,PF,United States,Orlando Magic,Chattanooga,No,College Senior
1,18,Chris Anstey,PF,Australia,Portland Trail Blazers,SE Melbourne Magic (Australia),No,Playing Internationally
1,19,Scot Pollard,C,United States,Detroit Pistons,Kansas,No,College Senior
1,20,Paul Grant,C,United States,Minnesota Timberwolves,Wisconsin,Yes,College Senior
1,21,Anthony Parker,SG,United States,New Jersey Nets,Bradley,Yes,College Senior
1,22,Ed Gray,PG/SG,United States,Atlanta Hawks,California,No,College Senior
1,23,Bobby Jackson,PG,United States,Seattle SuperSonics,Minnesota,No,College Senior
1,24,Rodrick Rhodes,SG,United States,Houston Rockets,USC,No,College Senior
1,25,John Thomas,C,United States,New York Knicks,Minnesota,No,College Senior
1,26,Charles Smith,SG,United States,Miami Heat,New Mexico,No,College Senior
1,27,Jacque Vaughn,PG,United States,Utah Jazz,Kansas,No,College Senior
1,28,Keith Booth,SF,United States,Chicago Bulls,Maryland,No,College Senior
2,29,Serge Zwikker,C,Netherlands,Houston Rockets,North Carolina,Yes,College Senior
2,30,Mark Sanford,SF/PF,United States,Miami Heat,Washington,Yes,College Junior
2,31,Charles O'Bannon,PG,United States,Detroit Pistons,UCLA,Yes,College Senior
2,32,James Cotton,SF,United States,Denver Nuggets,Long Beach State,No,College Senior
2,33,Marko Milič,PG/SG,Slovenia,Philadelphia 76ers,Smelt Olimpija (Slovenia),No,Playing Internationally
2,34,Bubba Wells,SF/PF,United States,Dallas Mavericks,Austin Peay,No,College Senior
2,35,Kebu Stewart,SF/PF,United States,Philadelphia 76ers,Cal State Bakersfield,Yes,College Senior
2,36,James Collins,PG/SG,United States,Philadelphia 76ers,Florida State,Yes,College Senior
2,37,Marc Jackson,SF/PF,United States,Golden State Warriors,Temple,No,College Senior
2,38,Jerald Honeycutt,PF,United States,Milwaukee Bucks,Tulane,No,College Senior
2,39,Anthony Johnson,PG/SG,United States,Sacramento Kings,College of Charleston,No,College Senior
2,40,Ed Elisma,SF,United States,Seattle SuperSonics,Georgia Tech,Yes,College Senior
2,41,Jason Lawson,C,United States,Denver Nuggets,Villanova,Yes,College Senior
2,42,Stephen Jackson,SG,United States,Phoenix Suns,Butler CC,No,College Senior
2,43,Gordon Malone,SF,United States,Minnesota Timberwolves,West Virginia,No,College Senior
2,44,Cedric Henderson,PF,United States,Cleveland Cavaliers,Memphis,No,College Senior
2,45,God Shammgod,PG,United States,Washington Bullets,Providence,No,College Senior
2,46,Eric Washington,SG,United States,Orlando Magic,Alabama,Yes,College Senior
2,47,Alvin Williams,PG,United States,Portland Trail Blazers,Villanova,No,College Senior
2,48,Predrag Drobnjak,C,FR Yugoslavia,Washington Bullets,KK Partizan (Yugoslavia),Yes,Playing Internationally
2,49,Alain Digbeu,SG,France,Atlanta Hawks,ASVEL Lyon-Villeurbanne,Yes,College Freshman
2,50,Chris Crawford,SF,United States,Atlanta Hawks,Marquette,No,College Senior
2,51,DeJuan Wheat,PG,United States,Los Angeles Lakers,Louisville,No,College Senior
2,52,C.J. Bruton,PG/SG,Australia,Vancouver Grizzlies,Indian Hills CC,Yes,College Sophmore
2,53,Paul Rogers,C,Australia,Los Angeles Lakers,Gonzaga,Yes,College Senior
2,54,Mark Blount,C,United States,Seattle SuperSonics,Pittsburgh,No,College Sophmore
2,55,Ben Pepper,C,Australia,Boston Celtics,Newcastle Falcons (Australia),Yes,Playing Internationally
2,56,Nate Erdmann,SG,United States,Utah Jazz,Oklahoma (Senior),No,Playing Internationally
2,57,Roberto Dueñas,C,Spain,Chicago Bulls,FC Barcelona (Spain),No,Playing Internationally
